"field_date","site_reach","sample_type","triplicate","Chla_ug_mg","Pheo_ug_mg"
2022-08-02,"RUS-1S","TAC","n",3.6618982348506,1.10740013371711
2022-08-02,"RUS-3","TAC","n",4.09149488127995,0.827645721928693
2022-09-17,"SFE-M-3","TM","y",9.72803871226827,0.291339310734798
2022-09-17,"SFE-M-3","TM","y",9.36037218226071,0.542924977170276
2022-09-17,"SFE-M-3","TM","y",8.48644856220465,0.568024618259697
2022-07-14,"SFE-M-1S","TAC","n",3.23407962958796,0.963076998443193
2022-07-14,"SFE-M-3","TAC","y",3.58732307605683,1.22607987529539
2022-07-14,"SFE-M-3","TAC","y",3.42090787632785,1.17593243551369
2022-07-14,"SFE-M-3","TAC","y",3.54531001527203,1.08526190765516
2022-07-14,"SFE-M-4","TAC","n",2.79342850439403,1.12691458205527
2022-08-10,"SFE-M-1S","TAC","n",8.52211664931474,0.793773801365911
2022-08-10,"SFE-M-3","TAC","n",5.55304235694961,0.677695569420401
2022-08-10,"SFE-M-4","TAC","n",3.00542385066444,1.04092706012453
2022-08-17,"RUS-1S","TAC","n",3.92118343166071,0.979220714156785
2022-08-17,"RUS-2","TAC","n",3.09379500632274,0.486351700213401
2022-08-17,"RUS-3","TAC","n",4.88371266422706,0.590170937597246
2022-08-23,"SFE-M-3","TAC","n",4.30394992427735,0.804286940468409
2022-06-29,"SFE-M-1S","TM","y",5.33839647102592,0.075281900615426
2022-07-26,"SAL-3","TM","n",5.23913970595773,0.220122993239407
2022-07-20,"RUS-1S","TAC","n",2.96328018265358,0.411743496902954
2022-07-20,"RUS-2","TAC","y",3.24497384782063,0.401227450856776
2022-07-20,"RUS-2","TAC","y",2.76211408194984,0.572139693715896
2022-08-02,"RUS-2","TAC","n",4.4182446809663,0.403885382539805
2022-09-01,"RUS-1S","TAC","n",1.4689656607943,0.628743250031739
2022-09-01,"RUS-2","TAC","n",2.02919204182806,0.557204242450256
2022-09-01,"RUS-3","TAC","y",1.8190743706258,0.692459144686241
2022-09-01,"RUS-3","TAC","y",1.88459656282586,0.664792558852586
2022-09-01,"RUS-3","TAC","y",1.82516745780517,0.604464875305385
2022-09-06,"SFE-M-1S","TAC","n",2.22716683129192,0.673366466376277
2022-09-15,"RUS-1S","TAC","n",2.75772885104398,0.520894459648726
2022-09-15,"RUS-2","TAC","n",1.60447878335661,0.614331345685896
2022-09-15,"RUS-3","TAC","y",1.795785565141,0.749498000242701
2022-09-15,"RUS-3","TAC","y",1.83801795366319,0.657018296113263
2022-09-15,"RUS-3","TAC","y",1.54336426672685,0.519024396776792
2022-09-17,"SFE-M-1S","TAC","n",1.73666133536954,1.11182134046819
2022-09-22,"SAL-3","TAC","n",2.24971562608797,1.15562040282648
2022-07-26,"SAL-1S","TM","y",4.66660009646958,0.205136516840241
2023-07-24,"SFE-SH-1S","TM","n",5.56880173016165,0.132935372801416
2023-07-10,"SFE-M-3","TM","y",7.52771384271886,0.0532437460362395
2023-07-13,"SAL-1S","TM","y",1.71384148978989,0.105055688944314
2023-07-13,"SAL-1S","TM","y",1.93757916360993,0.103669591528171
2023-07-13,"SAL-1S","TM","y",1.74097340926682,0.0168787624581238
2023-07-13,"SAL-2","TM","n",1.68930946788263,0.104822528257986
2023-07-13,"SAL-3","TM","n",1.89681514382908,0.123226913418407
2023-07-17,"SFE-M-3","TM","y",7.01898724001248,0.165447661181991
2023-06-28,"SAL-3","TM","n",0.866779613584425,0.011696298768466
2023-07-10,"SFE-M-2","TM","n",1.19795752066313,0.0140366792254497
2023-07-10,"SFE-M-3","TM","y",6.27633397996695,0.0677007220827803
2023-07-17,"SFE-SH-1S","TM","n",9.91696910398525,0.217229327386723
2023-07-10,"SFE-M-1S","TAC","n",8.22876703554881,0.305541810633056
2023-07-10,"SFE-M-4","TAC","n",2.60745120651379,0.216386886404271
2023-07-17,"SFE-M-1S","TAC","y",8.09386003302476,0.926490740875394
2023-07-17,"SFE-M-1S","TAC","y",8.57779461155615,0.699501720673402
2023-07-17,"SFE-M-1S","TAC","y",7.65616719391733,0.605074146209415
2023-07-17,"SFE-M-4","TAC","n",3.38352174444982,0.48088573674453
2023-07-24,"SFE-SH-1S","TAC","n",5.5833093128332,0.479884311975176
2023-07-24,"SFE-M-1S","TAC","n",4.81133496579236,0.751492553568943
2023-07-24,"SFE-M-2","TAC","n",4.81592129451,0.404782004878345
2023-07-10,"SFE-M-3","TM","y",6.90329913097817,0.00858915765830564
2023-07-17,"SFE-M-3","TM","y",7.88346261358307,0.0641919291015874
2023-07-27,"SAL-1S","TM","n",2.22405129728226,0.0234464793259217
2023-07-31,"SFE-SH-1S","TM","n",4.25822131520163,0.262256789379415
2023-07-24,"SFE-M-3","TAC","n",3.24549982177815,0.158225334926424
2023-07-24,"SFE-M-4","TAC","n",3.72058730089149,0.709439139256089
2023-07-31,"SFE-SH-1S","TAC","n",5.53173845256165,0.529671634671853
2023-07-31,"SFE-M-1S","TAC","y",5.16207261104587,0.975471324007017
2023-07-31,"SFE-M-1S","TAC","y",5.83410537579654,1.11109597219028
2023-07-31,"SFE-M-1S","TAC","y",6.18000629962187,1.11838248962603
2023-07-31,"SFE-M-2","TAC","n",4.00180999640136,0.370758142212548
2023-07-31,"SFE-M-3","TAC","n",4.58097755300251,0.569595576901292
2023-07-31,"SFE-M-4","TAC","n",6.84478887067217,0.958034483147868
2023-08-07,"SFE-SH-1S","TAC","n",5.63666847567547,0.532708403720129
2023-08-07,"SFE-M-1S","TAC","y",3.72724916501297,0.401908631724804
2023-08-07,"SFE-M-1S","TAC","y",3.57396358216522,0.278125201268586
2023-08-07,"SFE-M-1S","TAC","y",3.42581766769311,0.36462825329796
2023-08-07,"SFE-M-2","TAC","n",1.68568029733087,0.0965166503430095
2023-08-07,"SFE-M-3","TAC","n",3.56479780752344,0.384769887305765
2023-08-07,"SFE-M-4","TAC","n",5.99930941947503,0.243603456684017
2023-08-14,"SFE-SH-1S","TAC","n",5.43689853364054,0.598312506957297
2023-08-14,"SFE-M-1S","TAC","n",5.60908642651145,0.830855748335978
2023-08-14,"SFE-M-2","TAC","n",3.75575953158364,0.129204177042087
2023-08-14,"SFE-M-3","TAC","y",7.26169388873937,0.815732357682156
2023-08-14,"SFE-M-3","TAC","y",6.44862356931575,0.825820982251963
2023-08-14,"SFE-M-3","TAC","y",6.96623226727959,0.995565955457846
2023-07-24,"SFE-M-2","TM","n",2.2359414059793,0.0407493543097854
2023-07-24,"SFE-M-3","TM","n",5.53210093944223,0.0540906592645395
2023-07-27,"SAL-2","TM","n",2.21800264297197,0.0552418455974434
2023-07-27,"SAL-3","TM","n",2.08861776994029,0.0137697034087141
2023-07-31,"SFE-M-1S","TM","y",8.01344558577639,0.0430183522293003
2023-07-31,"SFE-M-1S","TM","y",9.99691889261201,0.0979700177015297
2023-07-31,"SFE-M-3","TM","n",9.07242803197186,0.156088710044982
2023-08-07,"SFE-M-1S","TM","y",9.15761745344581,0.283128045966523
2023-08-14,"SFE-M-4","TAC","n",3.59158676760975,0.632793129753085
2023-08-22,"SFE-SH-1S","TAC","n",4.46384330637056,1.49813377600318
2023-08-22,"SFE-M-1S","TAC","n",3.8187901385011,0.51096252696693
2023-08-22,"SFE-M-2","TAC","n",2.85774157186741,0.269858350441835
2023-08-22,"SFE-M-3","TAC","y",5.28758167732786,0.506841443045243
2023-08-22,"SFE-M-3","TAC","y",4.84571205644736,0.759846365268796
2023-08-22,"SFE-M-3","TAC","y",5.41444495396236,0.429240652179095
2023-08-22,"SFE-M-4","TAC","n",3.83414528356005,1.07422261174503
2023-08-28,"SFE-M-1S","TAC","n",5.18828215676862,1.17874974521578
2023-08-28,"SFE-M-3","TAC","n",2.86246508679674,0.394472416101105
2023-09-04,"SFE-M-1S","TAC","n",5.36635985128895,0.76226579660674
2023-09-12,"SFE-M-1S","TAC","n",3.39294145744772,0.192950213877402
2023-09-18,"SFE-SH-1S","TAC","n",5.40880346812355,0.893553889686875
2023-09-18,"SFE-M-1S","TAC","n",3.41162120500362,0.176419128622379
2023-09-18,"SFE-M-2","TAC","y",2.66148065452505,0.0756655817317882
2023-09-18,"SFE-M-2","TAC","y",2.31091423534491,0.114175598305743
2023-09-18,"SFE-M-2","TAC","y",2.95116983964185,0.0917380185988771
2023-09-18,"SFE-M-3","TAC","n",1.78786892097088,0.150514248476122
2023-09-24,"SFE-SH-1S","TAC","n",6.66977518775126,0.978423510038727
2023-09-24,"SFE-M-1S","TAC","n",3.12076779741245,0.170879367154504
2023-09-24,"SFE-M-2","TAC","y",2.27713965181645,0.146333688351514
2023-09-24,"SFE-M-2","TAC","y",2.41032684310376,0.127172147458344
2023-09-24,"SFE-M-2","TAC","y",2.66520481740044,0.13423938458562
2023-09-04,"SFE-M-2","TAC","n",1.54458503114521,0.0418749137901605
2023-07-31,"SFE-M-1S","TM","y",7.08120678571353,0.217799025121896
2023-08-07,"SFE-M-1S","TM","y",9.94536674560166,0.0368583578508507
2023-08-07,"SFE-M-3","TM","n",7.88958980903741,0.031197716712036
2023-08-10,"SAL-1S","TM","y",1.59080383207939,0.0510872563643447
2023-08-10,"SAL-1S","TM","y",1.67659040756057,0.0273386177984455
2023-08-14,"SFE-M-3","TM","y",8.99812587959691,0.103585068637781
2023-08-22,"SFE-M-1S","TM","n",13.3626865126904,0.816857147112983
2023-08-22,"SFE-M-3","TM","y",15.2308392850407,0.143737872043628
2023-08-22,"SFE-M-4","TM","n",6.84934974285411,0.781143234167769
2023-08-28,"SFE-SH-1S","TM","y",14.0374556854087,1.16438775058875
2023-09-04,"SFE-M-1S","TM","y",18.1653955477631,0.183813416975759
2023-08-07,"SFE-M-1S","TM","y",8.70403992094863,0.0396901151797108
2023-08-10,"SAL-1S","TM","y",1.82675886444978,0.0532083495233111
2023-08-14,"SFE-SH-1S","TM","n",13.4169863558644,0.339210596435536
2023-08-14,"SFE-M-3","TM","y",10.5245592384097,0.172947061682365
2023-08-22,"SFE-M-2","TM","n",15.3124366626218,0.182690997234571
2023-08-22,"SFE-M-3","TM","y",13.8916236216519,0.253360304952115
2023-08-22,"SFE-M-3","TM","y",14.2659792336565,0.0365895825771129
2023-08-28,"SFE-SH-1S","TM","y",13.9952122941162,0.19596937095216
2023-08-28,"SFE-SH-1S","TM","y",12.6580498208463,0.107330174064836
2023-09-04,"SFE-SH-1S","TM","n",13.8162247697288,0.399439321318414
2023-09-04,"SFE-M-1S","TM","y",12.6925979764359,0.157379981521563
2023-09-04,"SFE-M-4","TM","n",5.48253293535525,0.0260159812097594
2023-09-18,"SFE-M-4","TM","y",0.758370128017128,33.4536140170714
2023-08-07,"SFE-M-2","TM","n",8.05115767172504,0.233251270878279
2023-08-07,"SFE-M-4","TM","n",1.13690319507463,0.0627431659276601
2023-08-10,"SAL-2","TM","n",2.92628301775293,0.170506296382604
2023-08-14,"SFE-M-1S","TM","n",8.78380585464611,0.556083473085505
2023-08-14,"SFE-M-2","TM","n",19.8446373967772,1.52003277413342
2023-08-14,"SFE-M-3","TM","y",8.87027260018888,0.384221098877993
2023-08-22,"SFE-SH-1S","TM","n",19.0964291911836,2.0061779813486
2023-09-12,"SFE-M-1S","TM","n",9.2763763651215,1.04057139975383
2023-09-24,"SFE-SH-1S","TM","n",10.3862485627078,1.91170752016521
2023-09-24,"SFE-M-1S","TM","n",14.9135557274794,0.264967756077211
2023-09-24,"SFE-M-2","TM","y",11.6530216990598,1.69221191603265
2023-09-24,"SFE-M-2","TM","y",12.3807292997627,1.78609473997329
2023-09-24,"SFE-M-3","TM","n",16.0782346405876,0.0340615809131934
2023-09-24,"SFE-M-4","TM","n",15.2679287519338,0.944387266927392
2023-09-24,"Mat 2","riffle_exp","n",12.6267829926872,3.24045582217852
2023-09-24,"Mat 3","riffle_exp","n",13.0888411936141,0.256518691770638
2023-09-24,"Mat 4","riffle_exp","n",11.2141713030438,3.25310458665877
2023-09-24,"Mat 5","riffle_exp","n",11.7038441344974,1.15674491425049
2023-09-24,"Mat 6","riffle_exp","n",13.4206115948721,2.29639378574135
2023-09-24,"Mat 9","riffle_exp","n",13.4360801722575,0.896040051445289
2023-08-28,"SFE-M-1S","TM","n",13.9075985179894,0.0199540047173045
2023-08-28,"SFE-M-3","TM","n",8.16437586947744,2.57267470652272
2023-09-24,"Mat 8","riffle_exp","n",11.8368226073065,4.12114497163337
2023-09-04,"SFE-M-1S","TM","y",13.3808789331446,1.21893413267166
2023-09-04,"SFE-M-2","TM","n",14.585050814037,1.60157992360969
2023-09-04,"SFE-M-3","TM","n",13.8768921912851,0.00690021500801954
2023-09-12,"SFE-SH-1S","TM","n",4.58812796822413,6.37405012687974
2023-09-12,"SFE-M-1S","TM","n",16.3154560513882,2.4657704100243
2023-09-12,"SFE-M-2","TM","y",11.0411336031869,2.36736950596839
2023-09-12,"SFE-M-2","TM","y",19.7772429362922,0.773425197022801
2023-09-12,"SFE-M-3","TM","n",22.668334553092,1.51087920403518
2023-09-12,"SFE-M-4","TM","n",10.5809155974954,1.36249578208627
2023-09-18,"SFE-SH-1S","TM","n",14.1095956538144,1.55059921403266
2023-09-18,"SFE-M-1S","TM","n",14.5940611577872,0.861056883054194
2023-09-18,"SFE-M-3","TM","n",13.3538611958437,0.153574957669004
2023-09-18,"SFE-M-4","TM","y",11.9531248177913,0.490394048946012
2023-09-18,"SFE-M-4","TM","y",10.7032248592984,0.208805723445712
2023-09-24,"SFE-M-2","TM","y",14.8302813517023,1.09543895207313
2023-09-24,"Mat 1","riffle_exp","n",16.8548849129032,0.316006049270622
2023-09-24,"Mat 7","riffle_exp","n",10.0729006000127,1.00438660228173
2023-07-03,"SFE-M-3","TM","n",6.72041808877024,0.381650226240223
2023-07-10,"SFE-M-1S","TM","n",7.00915329646886,0.703837083780294
2023-07-11,"SFE-SH-1S","TM","n",6.16110449260449,0.292674385382595
2023-07-17,"SFE-M-1S","TM","n",9.56230003761592,0.715215009481931
2023-07-17,"SFE-M-3","TM","y",8.29004453266783,0.10165803123537
2023-07-24,"SFE-M-1S","TM","n",10.1040211861896,0.552287874979569
2023-07-31,"SFE-M-2","TM","n",6.33963166954858,0.537497561986666
2023-08-10,"SAL-3","TM","n",3.41033337629206,0.157533226296908
2023-09-12,"SFE-SH-1S","TM","n",11.2466649094985,0.99895149769275
2023-09-12,"SFE-M-2","TM","y",11.8838085208272,1.42090706194808
2023-09-18,"SFE-M-2","TM","n",14.6761069846081,0.324888771102825
2023-08-28,"SFE-M-2","TM","n",12.178063706543,0.599207625748467
