"field_date","site_reach","site","reach","estimator","transect","orientation","depth_cm","green_algae","Microcoleus","Anabaena_Cylindrospermum","bare_biofilm","other_N_fixers","Micro_pres","Ana_Cyl_pres","riffle_rapid"
"2022-07-20","RUS-1S","RUS","1S","MH",15,"75","45",95,0,0,5,0,"n","n","n"
"2022-07-20","RUS-1S","RUS","1S","MH",30,"25","30",50,0,0,50,0,"n","n","n"
"2022-07-20","RUS-1S","RUS","1S","MH",45,"50","23",80,0,0,20,0,"n","n","n"
"2022-07-20","RUS-1S","RUS","1S","MH",60,"75","26",65,0,0,35,0,"n","n","n"
"2022-07-20","RUS-1S","RUS","1S","MH",75,"25","32",40,0,0,60,0,"n","n","n"
"2022-07-20","RUS-1S","RUS","1S","MH",90,"50","42",30,0,0,70,0,"n","y","n"
"2022-07-20","RUS-1S","RUS","1S","MH",105,"75","49",5,0,1,94,0,"n","y","n"
"2022-07-20","RUS-1S","RUS","1S","MH",120,"25","80",10,0,0,90,0,"n","y","n"
"2022-07-20","RUS-1S","RUS","1S","MH",135,"50","57",40,0,0,60,0,"n","y","n"
"2022-07-20","RUS-1S","RUS","1S","MH",150,"75","30",15,0,0,85,0,"n","y","n"
"2022-08-02","RUS-1S","RUS","1S","MH",0,"25","26",98,0,0,2,0,"n","n","n"
"2022-08-02","RUS-1S","RUS","1S","MH",15,"50","37",98,0,0,2,0,"n","n","n"
"2022-08-02","RUS-1S","RUS","1S","MH",30,"75","45",75,0,0,25,0,"n","n","n"
"2022-08-02","RUS-1S","RUS","1S","MH",45,"25","31",80,0,0,20,0,"n","n","n"
"2022-08-02","RUS-1S","RUS","1S","MH",60,"50","30",95,0,1,4,0,"n","y","n"
"2022-08-02","RUS-1S","RUS","1S","MH",75,"75","23",80,0,1,19,0,"n","y","n"
"2022-08-02","RUS-1S","RUS","1S","MH",90,"25","41",50,0,0,50,0,"n","n","n"
"2022-08-02","RUS-1S","RUS","1S","MH",105,"50","52",15,0,0,85,0,"n","n","n"
"2022-08-02","RUS-1S","RUS","1S","MH",120,"75","52",25,0,0,75,0,"n","y","n"
"2022-08-02","RUS-1S","RUS","1S","MH",135,"25","75",5,0,0,95,0,"n","y","n"
"2022-08-02","RUS-1S","RUS","1S","MH",150,"50","52",35,0,1,64,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",0,"50","31",99,0,1,0,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",15,"75","43",99,0,1,0,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",30,"25","31",94,0,1,5,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",45,"50","23",92,0,1,7,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",60,"75","29",95,0,0,5,0,"n","n","n"
"2022-08-17","RUS-1S","RUS","1S","MH",75,"25","39",90,0,5,5,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",90,"50","50",99,0,1,0,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",105,"75","52",99,0,1,0,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",120,"50","62",95,0,5,0,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",135,"50","52",94,0,1,5,0,"n","y","n"
"2022-08-17","RUS-1S","RUS","1S","MH",150,"75","34",94,0,1,5,0,"n","n","n"
"2022-09-01","RUS-1S","RUS","1S","MH",0,"25","27",99,0,1,0,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",15,"50","32",70,0,15,15,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",30,"75","44",60,0,1,39,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",45,"25","40",0,0,5,95,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",60,"50","28",65,0,2,33,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",75,"75","24",70,0,1,29,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",90,"25","31",30,0,5,65,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",105,"50","48",20,0,5,75,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",120,"75","52",50,0,2,48,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",135,"25","74",0,0,35,65,0,"n","y","n"
"2022-09-01","RUS-1S","RUS","1S","MH",150,"50","60",50,0,10,40,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",0,"25","27",70,0,0,30,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",15,"50","37",60,0,20,20,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",30,"75","43",50,0,0,50,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",45,"25","33",10,0,0,90,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",60,"50","31",40,0,1,59,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",75,"75","25",30,0,0,70,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",90,"25","43",40,0,2,58,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",105,"50","55",50,0,1,49,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",120,"75","54",5,0,2,93,0,"n","y","n"
"2022-09-15","RUS-1S","RUS","1S","MH",135,"50","69",15,0,0,85,0,"n","n","n"
"2022-09-15","RUS-1S","RUS","1S","MH",150,"50","56",80,0,0,20,0,"n","n","n"
"2022-07-06","RUS-2","RUS","2","JZ",0,"50","35",5,0,0,95,0,"n","n","NA"
"2022-07-06","RUS-2","RUS","2","JZ",9,"75","55",20,0,0,80,0,"n","n","NA"
"2022-07-06","RUS-2","RUS","2","JZ",18,"25","33",30,0,0,70,0,"n","n","NA"
"2022-07-06","RUS-2","RUS","2","JZ",27,"50","50",70,0,0,30,0,"n","n","NA"
"2022-07-06","RUS-2","RUS","2","JZ",36,"25","60",95,0,0,5,0,"n","n","NA"
"2022-07-06","RUS-2","RUS","2","JZ",45,"10","55",85,0,0,15,0,"n","n","n"
"2022-07-06","RUS-2","RUS","2","JZ",54,"25","30",100,0,0,0,0,"n","n","n"
"2022-07-06","RUS-2","RUS","2","JZ",63,"75","51",15,0,0,85,0,"n","n","n"
"2022-07-06","RUS-2","RUS","2","JZ",72,"25","52",40,0,0,60,0,"n","n","n"
"2022-07-06","RUS-2","RUS","2","JZ",81,"25","34",50,0,0,50,0,"n","n","n"
"2022-07-06","RUS-2","RUS","2","JZ",90,"75","35",0,0,0,100,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",0,"50","56",95,0,0,5,0,"n","y","n"
"2022-07-20","RUS-2","RUS","2","JZ",9,"75","52",20,0,0,80,0,"n","y","n"
"2022-07-20","RUS-2","RUS","2","JZ",18,"25","16",95,0,0,5,0,"n","y","n"
"2022-07-20","RUS-2","RUS","2","JZ",27,"50","57",20,0,0,80,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",36,"25","49",95,0,0,5,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",45,"25","55",95,0,0,5,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",54,"25","30",80,0,0,20,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",63,"75","39",35,0,0,65,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",72,"25","40",97,0,0,3,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",81,"50","67",15,0,0,85,0,"n","n","n"
"2022-07-20","RUS-2","RUS","2","JZ",90,"75","33",7,0,0,93,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",0,"50","58",0,0,0,100,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",9,"75","51",15,0,0,85,0,"n","y","n"
"2022-08-02","RUS-2","RUS","2","JZ",18,"25","11",98,0,0,2,0,"n","y","n"
"2022-08-02","RUS-2","RUS","2","JZ",27,"50","61",75,0,0,25,0,"n","y","n"
"2022-08-02","RUS-2","RUS","2","JZ",36,"25","39",100,0,0,0,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",45,"25","51",85,0,0,15,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",54,"50","58",5,0,0,95,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",63,"75","36",40,0,0,60,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",72,"25","42",95,0,0,5,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",81,"50","55",5,0,0,95,0,"n","n","n"
"2022-08-02","RUS-2","RUS","2","JZ",90,"75","56",99,0,0,1,0,"n","n","n"
"2022-08-17","RUS-2","RUS","2","JZ",0,"50","44",10,0,0,90,0,"n","y","n"
"2022-08-17","RUS-2","RUS","2","JZ",9,"25","12",70,0,0,30,0,"n","y","n"
"2022-08-17","RUS-2","RUS","2","JZ",18,"50","89",90,0,0,10,0,"n","n","n"
"2022-08-17","RUS-2","RUS","2","JZ",27,"75","58",0,0,0,100,0,"n","n","n"
"2022-08-17","RUS-2","RUS","2","JZ",36,"25","50",100,0,0,0,0,"n","y","n"
"2022-08-17","RUS-2","RUS","2","JZ",45,"50","72",10,0,0,90,0,"n","n","n"
"2022-08-17","RUS-2","RUS","2","JZ",54,"25","24",90,0,0,10,0,"n","y","n"
"2022-08-17","RUS-2","RUS","2","JZ",63,"50","44",5,0,0,95,0,"n","y","n"
"2022-08-17","RUS-2","RUS","2","JZ",72,"25","40",94,0,1,5,0,"n","y","n"
"2022-08-17","RUS-2","RUS","2","JZ",81,"75","51",2,0,0,98,0,"n","n","n"
"2022-08-17","RUS-2","RUS","2","JZ",90,"75","22",7,0,0,93,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",0,"25","42",0,0,0,100,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",9,"50","24",25,0,0,75,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",18,"75","45",90,0,0,10,0,"n","y","n"
"2022-09-01","RUS-2","RUS","2","MH",27,"25","50",90,0,0,10,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",36,"25","56",20,0,0,80,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",45,"25","31",0,0,0,100,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",54,"25","44",25,0,5,70,0,"n","y","n"
"2022-09-01","RUS-2","RUS","2","MH",63,"25","24",20,0,0,80,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",72,"50","50",5,0,0,95,0,"n","y","n"
"2022-09-01","RUS-2","RUS","2","MH",81,"25","46",80,0,0,20,0,"n","n","n"
"2022-09-01","RUS-2","RUS","2","MH",90,"25","45",30,0,50,20,0,"n","y","n"
"2022-09-15","RUS-2","RUS","2","JZ",0,"50","51",3,0,0,97,0,"n","y","n"
"2022-09-15","RUS-2","RUS","2","JZ",9,"25","21",90,0,0,10,0,"n","y","n"
"2022-09-15","RUS-2","RUS","2","JZ",18,"50","51",50,0,0,50,0,"n","y","n"
"2022-09-15","RUS-2","RUS","2","JZ",27,"75","64",0,0,0,100,0,"n","n","n"
"2022-09-15","RUS-2","RUS","2","JZ",36,"25","35",5,0,0,95,0,"n","y","n"
"2022-09-15","RUS-2","RUS","2","JZ",45,"25","51",15,0,40,45,0,"n","n","n"
"2022-09-15","RUS-2","RUS","2","JZ",54,"25","28",0,0,0,100,0,"n","n","n"
"2022-09-15","RUS-2","RUS","2","JZ",63,"25","34",90,0,0,10,0,"n","n","n"
"2022-09-15","RUS-2","RUS","2","JZ",72,"25","26",94,0,1,5,0,"n","y","n"
"2022-09-15","RUS-2","RUS","2","JZ",81,"75","55",2,0,0,98,0,"n","n","n"
"2022-09-15","RUS-2","RUS","2","JZ",90,"75","32",5,0,0,95,0,"n","y","n"
"2022-07-07","RUS-3","RUS","3","JZ",0,"75","63",20,0,0,80,0,"n","n","n"
"2022-07-07","RUS-3","RUS","3","JZ",15,"50","55",0,0,0,100,0,"n","n","n"
"2022-07-07","RUS-3","RUS","3","JZ",30,"75","10",50,0,0,50,0,"n","n","y"
"2022-07-07","RUS-3","RUS","3","JZ",45,"75","37",95,0,0,5,0,"n","n","y"
"2022-07-07","RUS-3","RUS","3","JZ",60,"25","25",20,0,0,80,0,"n","n","n"
"2022-07-07","RUS-3","RUS","3","JZ",75,"50","41",35,0,0,65,0,"n","n","NA"
"2022-07-07","RUS-3","RUS","3","JZ",90,"75","27",45,0,0,55,0,"n","n","n"
"2022-07-07","RUS-3","RUS","3","JZ",105,"75","50",30,0,0,70,0,"n","n","NA"
"2022-07-07","RUS-3","RUS","3","JZ",120,"50","50",60,0,0,40,0,"n","n","NA"
"2022-07-07","RUS-3","RUS","3","JZ",135,"75","15",90,0,0,10,0,"n","n","NA"
"2022-07-07","RUS-3","RUS","3","JZ",150,"25","30",0,0,0,100,0,"n","n","n"
"2022-07-20","RUS-3","RUS","3","MH",0,"75","52",20,0,0,80,0,"n","n","n"
"2022-07-20","RUS-3","RUS","3","MH",15,"25","50",50,0,0,50,0,"n","n","y"
"2022-07-20","RUS-3","RUS","3","MH",30,"50","33",60,0,0,40,0,"n","n","n"
"2022-07-20","RUS-3","RUS","3","MH",45,"75","46",98,0,0,2,0,"n","n","y"
"2022-07-20","RUS-3","RUS","3","MH",60,"25","26",70,0,0,30,0,"n","n","y"
"2022-07-20","RUS-3","RUS","3","MH",75,"50","51",90,0,0,10,0,"n","y","n"
"2022-07-20","RUS-3","RUS","3","MH",90,"25","44",20,0,0,80,0,"n","n","n"
"2022-07-20","RUS-3","RUS","3","MH",105,"25","52",20,0,0,80,0,"n","n","n"
"2022-07-20","RUS-3","RUS","3","MH",120,"50","50",80,0,0,20,0,"n","y","n"
"2022-07-20","RUS-3","RUS","3","MH",135,"75","16",90,0,0,10,0,"n","y","n"
"2022-07-20","RUS-3","RUS","3","MH",150,"25","25",10,0,0,90,0,"n","y","y"
"2022-08-02","RUS-3","RUS","3","MH",0,"75","61",90,0,0,10,0,"n","n","n"
"2022-08-02","RUS-3","RUS","3","MH",15,"50","61",20,0,0,80,0,"n","n","n"
"2022-08-02","RUS-3","RUS","3","MH",30,"75","23",50,0,0,50,0,"n","n","y"
"2022-08-02","RUS-3","RUS","3","MH",45,"25","33",50,0,0,50,0,"n","y","y"
"2022-08-02","RUS-3","RUS","3","MH",60,"75","20",98,0,0,2,0,"n","y","n"
"2022-08-02","RUS-3","RUS","3","MH",75,"75","18",95,0,0,5,0,"n","n","n"
"2022-08-02","RUS-3","RUS","3","MH",90,"25","57",70,0,0,30,0,"n","y","n"
"2022-08-02","RUS-3","RUS","3","MH",105,"50","56",95,0,0,5,0,"n","n","n"
"2022-08-02","RUS-3","RUS","3","MH",120,"75","50",95,0,0,5,0,"n","n","n"
"2022-08-02","RUS-3","RUS","3","MH",135,"25","51",30,0,0,70,0,"n","y","n"
"2022-08-02","RUS-3","RUS","3","MH",150,"50","NA",5,0,0,95,0,"n","y","y"
"2022-08-17","RUS-3","RUS","3","MH",0,"75","60",90,0,0,10,0,"n","n","n"
"2022-08-17","RUS-3","RUS","3","MH",15,"50","65",5,0,0,95,0,"n","n","n"
"2022-08-17","RUS-3","RUS","3","MH",30,"75","26",5,0,0,95,0,"n","n","y"
"2022-08-17","RUS-3","RUS","3","MH",45,"25","27",20,0,0,80,0,"n","n","y"
"2022-08-17","RUS-3","RUS","3","MH",60,"50","10",40,0,0,60,0,"n","y","y"
"2022-08-17","RUS-3","RUS","3","MH",75,"75","20",95,0,0,5,0,"n","n","n"
"2022-08-17","RUS-3","RUS","3","MH",90,"25","63",70,0,0,30,0,"n","y","n"
"2022-08-17","RUS-3","RUS","3","MH",105,"50","63",60,0,0,40,0,"n","n","n"
"2022-08-17","RUS-3","RUS","3","MH",120,"75","47",100,0,0,0,0,"n","y","n"
"2022-08-17","RUS-3","RUS","3","MH",135,"25","37",35,0,0,65,0,"n","y","n"
"2022-08-17","RUS-3","RUS","3","MH",150,"50","20",10,0,0,90,0,"n","y","n"
"2022-09-01","RUS-3","RUS","3","MH",0,"75","45",10,0,0,90,0,"n","n","n"
"2022-09-01","RUS-3","RUS","3","MH",15,"25","13",1,0,0,99,0,"n","n","y"
"2022-09-01","RUS-3","RUS","3","MH",30,"25","20",30,0,0,70,0,"n","y","y"
"2022-09-01","RUS-3","RUS","3","MH",45,"50","52",70,0,25,5,0,"n","n","n"
"2022-09-01","RUS-3","RUS","3","MH",60,"25","37",80,0,0,20,0,"n","n","n"
"2022-09-01","RUS-3","RUS","3","MH",75,"50","53",80,0,0,20,0,"n","n","n"
"2022-09-01","RUS-3","RUS","3","MH",90,"50","45",75,0,0,25,0,"n","n","n"
"2022-09-01","RUS-3","RUS","3","MH",105,"75","65",5,0,0,95,0,"n","n","n"
"2022-09-01","RUS-3","RUS","3","MH",120,"50","49",85,0,0,15,0,"n","y","n"
"2022-09-01","RUS-3","RUS","3","MH",135,"75","19",95,0,0,5,0,"n","y","n"
"2022-09-01","RUS-3","RUS","3","MH",150,"25","42",30,0,0,70,0,"n","n","y"
"2022-09-15","RUS-3","RUS","3","MH",0,"25","64",20,0,1,79,0,"n","y","n"
"2022-09-15","RUS-3","RUS","3","MH",15,"50","82",5,0,0,95,0,"n","n","y"
"2022-09-15","RUS-3","RUS","3","MH",30,"75","5",5,0,0,95,0,"n","y","y"
"2022-09-15","RUS-3","RUS","3","MH",45,"25","12",20,0,0,80,0,"n","n","y"
"2022-09-15","RUS-3","RUS","3","MH",60,"75","9",75,0,0,25,0,"n","y","y"
"2022-09-15","RUS-3","RUS","3","MH",75,"75","22",80,0,0,20,0,"n","n","n"
"2022-09-15","RUS-3","RUS","3","MH",90,"50","54",50,0,0,50,0,"n","n","n"
"2022-09-15","RUS-3","RUS","3","MH",105,"50","65",30,0,0,70,0,"n","n","n"
"2022-09-15","RUS-3","RUS","3","MH",120,"75","51",10,0,0,90,0,"n","y","n"
"2022-09-15","RUS-3","RUS","3","MH",135,"25","44",20,0,0,80,0,"n","n","n"
"2022-09-15","RUS-3","RUS","3","MH",150,"50","6",90,0,0,10,0,"n","n","n"
"2022-06-27","SAL-1S","SAL","1S","JZ",0,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",15,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",30,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",45,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",60,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",75,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",90,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",105,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",120,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",135,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-06-27","SAL-1S","SAL","1S","JZ",150,"RB","NA",0,0,0,100,0,"n","n","NA"
"2022-07-12","SAL-1S","SAL","1S","MH",0,"RB","45",0,0,0,100,0,"n","n","y"
"2022-07-12","SAL-1S","SAL","1S","MH",15,"RB","44",0,0,0,100,0,"n","n","y"
"2022-07-12","SAL-1S","SAL","1S","MH",30,"RB","46",10,0,0,90,0,"n","n","y"
"2022-07-12","SAL-1S","SAL","1S","MH",45,"RB","25",1,1,0,98,0,"y","n","y"
"2022-07-12","SAL-1S","SAL","1S","MH",60,"RB","50",1,35,0,64,0,"y","n","n"
"2022-07-12","SAL-1S","SAL","1S","MH",75,"RB","56",1,35,0,64,0,"y","n","n"
"2022-07-12","SAL-1S","SAL","1S","MH",90,"RB","55",0,0,0,100,0,"y","n","n"
"2022-07-12","SAL-1S","SAL","1S","MH",105,"RB","12",1,0,0,99,0,"y","n","y"
"2022-07-12","SAL-1S","SAL","1S","MH",120,"RB","44",5,12,0,83,0,"y","n","n"
"2022-07-12","SAL-1S","SAL","1S","MH",135,"RB","52",5,2,0,93,0,"y","n","n"
"2022-07-12","SAL-1S","SAL","1S","MH",150,"RB","56",0,0,0,100,0,"y","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",0,"RB","52",10,0,0,90,0,"n","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",15,"RB","38",95,0,0,5,0,"n","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",30,"RB","45",0,40,0,60,0,"y","n","y"
"2022-07-26","SAL-1S","SAL","1S","MH",45,"RB","51",0,30,0,70,0,"y","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",60,"RB","33",0,90,0,10,0,"y","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",75,"RB","35",0,70,0,30,0,"y","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",90,"RB","65",0,0,0,100,0,"y","n","n"
"2022-07-26","SAL-1S","SAL","1S","MH",105,"RB","20",0,2,0,98,0,"y","n","y"
"2022-07-26","SAL-1S","SAL","1S","MH",120,"RB","20",1,15,0,84,0,"y","n","y"
"2022-07-26","SAL-1S","SAL","1S","MH",135,"RB","43",20,30,0,50,0,"y","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",0,"RB","37",40,0,0,60,0,"n","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",15,"RB","27",95,0,0,5,0,"n","n","y"
"2022-09-22","SAL-1S","SAL","1S","JZ",30,"RB","32",95,0,0,5,0,"n","n","y"
"2022-09-22","SAL-1S","SAL","1S","JZ",45,"RB","51",5,0,0,95,0,"n","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",60,"RB","19",35,0,0,65,0,"n","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",75,"RB","35",90,0,0,10,0,"n","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",90,"RB","52",95,0,0,5,0,"n","n","y"
"2022-09-22","SAL-1S","SAL","1S","JZ",105,"RB","36",90,0,0,10,0,"n","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",120,"RB","34",85,0,0,15,0,"n","n","y"
"2022-09-22","SAL-1S","SAL","1S","JZ",135,"RB","51",40,0,0,60,0,"n","n","n"
"2022-09-22","SAL-1S","SAL","1S","JZ",150,"RB","60",90,0,0,10,0,"n","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",0,"LB","44",0,10,0,90,0,"y","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",15,"LB","22",0,5,0,95,0,"y","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",30,"LB","45",0,0,0,100,0,"y","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",45,"LB","30",0,0,0,100,0,"n","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",60,"LB","42",0,0,0,100,0,"n","n","y"
"2022-07-12","SAL-2","SAL","2","JZ",75,"LB","26",0,0,0,100,0,"n","n","y"
"2022-07-12","SAL-2","SAL","2","JZ",90,"LB","19",0,10,0,90,0,"y","n","y"
"2022-07-12","SAL-2","SAL","2","JZ",105,"LB","16",0,10,0,90,0,"y","n","y"
"2022-07-12","SAL-2","SAL","2","JZ",120,"LB","25",0,0,0,100,0,"y","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",135,"LB","35",0,0,0,100,0,"n","n","n"
"2022-07-12","SAL-2","SAL","2","JZ",150,"LB","33",0,0,0,100,0,"n","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",0,"LB","40",0,25,0,75,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",15,"LB","34",0,20,0,80,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",30,"LB","36",2,0,0,98,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",45,"LB","39",2,0,0,98,0,"n","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",60,"LB","35",1,1,0,98,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",75,"LB","39",0,0,0,100,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",90,"LB","20",1,15,0,84,0,"y","n","y"
"2022-07-26","SAL-2","SAL","2","JZ",105,"LB","9",0,35,0,65,0,"y","n","y"
"2022-07-26","SAL-2","SAL","2","JZ",120,"LB","41",0,25,0,75,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",135,"LB","27",0,25,0,75,0,"y","n","n"
"2022-07-26","SAL-2","SAL","2","JZ",150,"LB","51",0,0,0,100,0,"n","n","n"
"2022-09-22","SAL-2","SAL","2","JZ",0,"LB","29",97,0,0,3,0,"n","n","n"
"2022-09-22","SAL-2","SAL","2","JZ",15,"LB","32",80,0,0,20,0,"n","n","n"
"2022-09-22","SAL-2","SAL","2","JZ",30,"LB","34",80,0,0,20,0,"n","n","n"
