"predicting","model_name","site_reach","rhat_above_1.05","divergent_transitions","num_divergent"
"AC_atx","biological_w_cover","SFE-SH-1S",FALSE,TRUE,8715
"AC_atx","chemical","SFE-M-1S",FALSE,FALSE,0
"AC_atx","chemical","SFE-M-2",FALSE,FALSE,0
"AC_atx","chemical","SFE-M-3",FALSE,FALSE,0
"AC_atx","chemical","SFE-M-4",FALSE,FALSE,0
"AC_atx","chemical","SFE-SH-1S",FALSE,FALSE,0
"AC_atx","chemical_w_cover","SFE-M-1S",FALSE,TRUE,2
"AC_atx","chemical_w_cover","SFE-M-2",FALSE,FALSE,0
"AC_atx","chemical_w_cover","SFE-M-3",FALSE,FALSE,0
"AC_atx","chemical_w_cover","SFE-M-4",FALSE,FALSE,0
"AC_atx","chemical_w_cover","SFE-SH-1S",FALSE,FALSE,0
"AC_atx","ecohydrological","SFE-M-1S",FALSE,TRUE,12369
"AC_atx","ecohydrological","SFE-M-2",FALSE,TRUE,12511
"AC_atx","ecohydrological","SFE-M-3",FALSE,TRUE,10716
"AC_atx","ecohydrological","SFE-M-4",FALSE,TRUE,13497
"AC_atx","ecohydrological","SFE-SH-1S",FALSE,TRUE,833
"AC_atx","ecohydrological_w_cover","SFE-M-1S",FALSE,TRUE,12847
"AC_atx","ecohydrological_w_cover","SFE-M-2",FALSE,TRUE,7286
"AC_atx","ecohydrological_w_cover","SFE-M-3",FALSE,TRUE,10855
"AC_atx","ecohydrological_w_cover","SFE-M-4",FALSE,TRUE,12585
"AC_atx","ecohydrological_w_cover","SFE-SH-1S",FALSE,TRUE,5020
"AC_atx","physical","SFE-M-1S",FALSE,TRUE,1879
"AC_atx","physical","SFE-M-2",FALSE,TRUE,2963
"AC_atx","physical","SFE-M-3",FALSE,TRUE,359
"AC_atx","physical","SFE-M-4",FALSE,TRUE,3557
"AC_atx","physical","SFE-SH-1S",FALSE,TRUE,67
"AC_atx","physical_w_cover","SFE-M-1S",FALSE,TRUE,137
"AC_atx","physical_w_cover","SFE-M-2",FALSE,TRUE,44
"AC_atx","physical_w_cover","SFE-M-3",FALSE,TRUE,19
"AC_atx","physical_w_cover","SFE-M-4",FALSE,TRUE,797
"AC_atx","physical_w_cover","SFE-SH-1S",FALSE,TRUE,2
"AC_atx","physicochemical","SFE-M-1S",TRUE,TRUE,14745
"AC_atx","physicochemical","SFE-M-2",FALSE,TRUE,14859
"AC_atx","physicochemical","SFE-M-3",FALSE,TRUE,14632
"AC_atx","physicochemical","SFE-M-4",FALSE,TRUE,14727
"AC_atx","physicochemical","SFE-SH-1S",TRUE,TRUE,14768
"AC_atx","physicochemical_w_cover","SFE-M-1S",TRUE,TRUE,14659
"AC_atx","physicochemical_w_cover","SFE-M-2",FALSE,TRUE,14507
"AC_atx","physicochemical_w_cover","SFE-M-3",FALSE,TRUE,14365
"AC_atx","physicochemical_w_cover","SFE-M-4",FALSE,TRUE,14464
"AC_atx","physicochemical_w_cover","SFE-SH-1S",TRUE,TRUE,12637
