Date,Site,Section,#,Intermediate_axis _mm,Riffle_or_pool,Transect
9/7/2023,SfkEel_Miranda,EEL-4S,40,45,pool,4
9/7/2023,SfkEel_Miranda,EEL-4S,41,27,pool,4
9/7/2023,SfkEel_Miranda,EEL-4S,42,20,pool,5
9/7/2023,SfkEel_Miranda,EEL-4S,43,sand,pool,5
9/7/2023,SfkEel_Miranda,EEL-4S,44,90,pool,5
9/7/2023,SfkEel_Miranda,EEL-4S,45,25,pool,5
9/7/2023,SfkEel_Miranda,EEL-4S,46,sand,pool,6
9/7/2023,SfkEel_Miranda,EEL-4S,47,38,pool,6
9/7/2023,SfkEel_Miranda,EEL-4S,48,sand,pool,6
9/7/2023,SfkEel_Miranda,EEL-4S,49,sand,pool,6
9/7/2023,SfkEel_Miranda,EEL-4S,50,12,pool,6
9/7/2023,SfkEel_Miranda,EEL-4S,51,21,pool,6
9/7/2023,SfkEel_Miranda,EEL-4S,52,10,pool,7
9/7/2023,SfkEel_Miranda,EEL-4S,53,90,pool,7
9/7/2023,SfkEel_Miranda,EEL-4S,54,33,pool,7
9/7/2023,SfkEel_Miranda,EEL-4S,55,58,pool,7
9/7/2023,SfkEel_Miranda,EEL-4S,56,45,pool,8
9/7/2023,SfkEel_Miranda,EEL-4S,57,55,pool,8
9/7/2023,SfkEel_Miranda,EEL-4S,58,46,pool,8
9/7/2023,SfkEel_Miranda,EEL-4S,59,sand,pool,8
9/7/2023,SfkEel_Miranda,EEL-4S,60,93,pool,8
9/7/2023,SfkEel_Miranda,EEL-4S,61,30,pool,9
9/7/2023,SfkEel_Miranda,EEL-4S,62,sand,pool,9
9/7/2023,SfkEel_Miranda,EEL-4S,63,20,pool,9
9/7/2023,SfkEel_Miranda,EEL-4S,64,65,pool,10
9/7/2023,SfkEel_Miranda,EEL-4S,65,sand,pool,10
9/7/2023,SfkEel_Miranda,EEL-4S,66,45,pool,10
9/7/2023,SfkEel_Miranda,EEL-4S,67,95,pool,10
9/7/2023,SfkEel_Miranda,EEL-4S,68,38,pool,10
9/7/2023,SfkEel_Miranda,EEL-4S,69,53,pool,11
9/7/2023,SfkEel_Miranda,EEL-4S,70,sand,pool,11
9/7/2023,SfkEel_Miranda,EEL-4S,71,11,pool,11
9/7/2023,SfkEel_Miranda,EEL-4S,72,52,pool,11
9/7/2023,SfkEel_Miranda,EEL-4S,73,sand,pool,12
9/7/2023,SfkEel_Miranda,EEL-4S,74,95,pool,12
9/7/2023,SfkEel_Miranda,EEL-4S,75,44,pool,12
9/7/2023,SfkEel_Miranda,EEL-4S,76,18,pool,12
9/7/2023,SfkEel_Miranda,EEL-4S,77,sand,pool,12
9/7/2023,SfkEel_Miranda,EEL-4S,78,sand,pool,13
9/7/2023,SfkEel_Miranda,EEL-4S,79,sand,pool,13
9/7/2023,SfkEel_Miranda,EEL-4S,80,105,pool,13
9/7/2023,SfkEel_Miranda,EEL-4S,81,sand,pool,14
9/7/2023,SfkEel_Miranda,EEL-4S,82,41,pool,14
9/7/2023,SfkEel_Miranda,EEL-4S,83,sand,pool,14
9/7/2023,SfkEel_Miranda,EEL-4S,84,35,pool,15
9/7/2023,SfkEel_Miranda,EEL-4S,85,sand,pool,15
9/7/2023,SfkEel_Miranda,EEL-4S,86,sand,pool,16
9/7/2023,SfkEel_Miranda,EEL-4S,87,sand,pool,16
9/7/2023,SfkEel_Miranda,EEL-4S,88,100,pool,16
9/7/2023,SfkEel_Miranda,EEL-4S,89,sand,pool,16
9/7/2023,SfkEel_Miranda,EEL-4S,90,70,pool,17
9/7/2023,SfkEel_Miranda,EEL-4S,91,85,pool,17
9/7/2023,SfkEel_Miranda,EEL-4S,92,sand,pool,18
9/7/2023,SfkEel_Miranda,EEL-4S,93,sand,pool,18
9/7/2023,SfkEel_Miranda,EEL-4S,94,sand,pool,18
9/7/2023,SfkEel_Miranda,EEL-4S,95,sand,pool,18
9/7/2023,SfkEel_Miranda,EEL-4S,96,sand,pool,19
9/7/2023,SfkEel_Miranda,EEL-4S,97,sand,pool,19
9/7/2023,SfkEel_Miranda,EEL-4S,98,sand,pool,20
9/7/2023,SfkEel_Miranda,EEL-4S,99,sand,pool,20
9/7/2023,SfkEel_Miranda,EEL-4S,100,sand,pool,20
9/7/2023,SfkEel_Miranda,EEL-BUG,1,115,riffle,1
9/7/2023,SfkEel_Miranda,EEL-BUG,2,35,riffle,1
9/7/2023,SfkEel_Miranda,EEL-BUG,3,80,riffle,1
9/7/2023,SfkEel_Miranda,EEL-BUG,4,45,riffle,1
9/7/2023,SfkEel_Miranda,EEL-BUG,5,65,riffle,2
9/7/2023,SfkEel_Miranda,EEL-BUG,6,40,riffle,2
9/7/2023,SfkEel_Miranda,EEL-BUG,7,7,riffle,2
9/7/2023,SfkEel_Miranda,EEL-BUG,8,60,riffle,2
9/7/2023,SfkEel_Miranda,EEL-BUG,9,10,riffle,3
9/7/2023,SfkEel_Miranda,EEL-BUG,10,18,riffle,3
9/7/2023,SfkEel_Miranda,EEL-BUG,11,22,riffle,3
9/7/2023,SfkEel_Miranda,EEL-BUG,12,25,riffle,4
9/7/2023,SfkEel_Miranda,EEL-BUG,13,15,riffle,4
9/7/2023,SfkEel_Miranda,EEL-BUG,14,80,riffle,4
9/7/2023,SfkEel_Miranda,EEL-BUG,15,5,riffle,5
9/7/2023,SfkEel_Miranda,EEL-BUG,16,25,riffle,5
9/7/2023,SfkEel_Miranda,EEL-BUG,17,16,riffle,6
9/7/2023,SfkEel_Miranda,EEL-BUG,18,28,riffle,6
9/7/2023,SfkEel_Miranda,EEL-BUG,19,33,riffle,6
9/7/2023,SfkEel_Miranda,EEL-BUG,20,32,riffle,7
9/7/2023,SfkEel_Miranda,EEL-BUG,21,43,riffle,7
9/7/2023,SfkEel_Miranda,EEL-BUG,22,5,riffle,7
9/7/2023,SfkEel_Miranda,EEL-BUG,23,270,riffle,8
9/7/2023,SfkEel_Miranda,EEL-BUG,24,29,riffle,8
9/7/2023,SfkEel_Miranda,EEL-BUG,25,41,riffle,8
9/7/2023,SfkEel_Miranda,EEL-BUG,26,10,riffle,8
9/7/2023,SfkEel_Miranda,EEL-BUG,27,9,riffle,8
9/7/2023,SfkEel_Miranda,EEL-BUG,28,42,riffle,9
9/7/2023,SfkEel_Miranda,EEL-BUG,29,22,riffle,9
9/7/2023,SfkEel_Miranda,EEL-BUG,30,37,riffle,9
9/7/2023,SfkEel_Miranda,EEL-BUG,31,11,riffle,9
9/7/2023,SfkEel_Miranda,EEL-BUG,32,59,riffle,9
9/7/2023,SfkEel_Miranda,EEL-BUG,33,31,riffle,10
9/7/2023,SfkEel_Miranda,EEL-BUG,34,38,riffle,10
9/7/2023,SfkEel_Miranda,EEL-BUG,35,30,riffle,10
9/7/2023,SfkEel_Miranda,EEL-BUG,36,29,riffle,10
9/7/2023,SfkEel_Miranda,EEL-BUG,37,27,pool,10
9/7/2023,SfkEel_Miranda,EEL-BUG,38,20,pool,10
9/7/2023,SfkEel_Miranda,EEL-BUG,39,9,pool,10
9/7/2023,SfkEel_Miranda,EEL-BUG,40,29,pool,10
9/7/2023,SfkEel_Miranda,EEL-BUG,41,28,pool,10
9/7/2023,SfkEel_Miranda,EEL-BUG,42,30,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,43,16,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,44,27,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,45,29,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,46,34,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,47,56,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,48,sand,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,49,6,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,50,19,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,51,32,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,52,59,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,53,18,pool,11
9/7/2023,SfkEel_Miranda,EEL-BUG,54,31,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,55,75,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,56,61,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,57,21,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,58,15,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,59,28,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,60,24,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,61,11,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,62,8,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,63,19,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,64,4,pool,12
9/7/2023,SfkEel_Miranda,EEL-BUG,65,14,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,66,16,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,67,17,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,68,43,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,69,3,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,70,15,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,71,5,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,72,8,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,73,6,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,74,94,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,75,37,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,76,38,pool,13
9/7/2023,SfkEel_Miranda,EEL-BUG,77,43,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,78,3,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,79,5,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,80,11,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,81,10,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,82,13,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,83,4,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,84,sand,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,85,42,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,86,sand,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,87,sand,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,88,sand,pool,14
9/7/2023,SfkEel_Miranda,EEL-BUG,89,sand,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,90,52,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,91,21,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,92,17,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,93,21,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,94,10,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,95,42,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,96,36,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,97,19,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,98,54,pool,15
9/7/2023,SfkEel_Miranda,EEL-BUG,99,53,pool,16
9/7/2023,SfkEel_Miranda,EEL-BUG,100,51,pool,16
9/7/2023,SfkEel_Miranda,EEL-3UP,1,19,riffle,1
9/7/2023,SfkEel_Miranda,EEL-3UP,2,12,pool,1
9/7/2023,SfkEel_Miranda,EEL-3UP,3,4,pool,1
9/7/2023,SfkEel_Miranda,EEL-3UP,4,9,pool,2
9/7/2023,SfkEel_Miranda,EEL-3UP,5,83,pool,2
9/7/2023,SfkEel_Miranda,EEL-3UP,6,100,pool,2
9/7/2023,SfkEel_Miranda,EEL-3UP,7,sand,pool,2
9/7/2023,SfkEel_Miranda,EEL-3UP,8,103,pool,2
9/7/2023,SfkEel_Miranda,EEL-3UP,9,2,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,10,85,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,11,37,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,12,90,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,13,105,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,14,95,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,15,95,pool,3
9/7/2023,SfkEel_Miranda,EEL-3UP,16,4,pool,4
9/7/2023,SfkEel_Miranda,EEL-3UP,17,110,pool,4
9/7/2023,SfkEel_Miranda,EEL-3UP,18,22,pool,4
9/7/2023,SfkEel_Miranda,EEL-3UP,19,43,riffle,4
9/7/2023,SfkEel_Miranda,EEL-3UP,20,250,riffle,4
9/7/2023,SfkEel_Miranda,EEL-3UP,21,60,riffle,4
9/7/2023,SfkEel_Miranda,EEL-3UP,22,110,riffle,4
9/7/2023,SfkEel_Miranda,EEL-3UP,23,80,riffle,5
9/7/2023,SfkEel_Miranda,EEL-3UP,24,47,riffle,5
9/7/2023,SfkEel_Miranda,EEL-3UP,25,85,riffle,5
9/7/2023,SfkEel_Miranda,EEL-3UP,26,92,riffle,5
9/7/2023,SfkEel_Miranda,EEL-3UP,27,57,riffle,5
9/7/2023,SfkEel_Miranda,EEL-3UP,28,145,riffle,6
9/7/2023,SfkEel_Miranda,EEL-3UP,29,150,riffle,6
9/7/2023,SfkEel_Miranda,EEL-3UP,30,195,riffle,6
9/7/2023,SfkEel_Miranda,EEL-3UP,31,110,riffle,6
9/7/2023,SfkEel_Miranda,EEL-3UP,32,70,riffle,6
9/7/2023,SfkEel_Miranda,EEL-3UP,33,12,riffle,6
9/7/2023,SfkEel_Miranda,EEL-3UP,34,150,riffle,7
9/7/2023,SfkEel_Miranda,EEL-3UP,35,38,riffle,7
9/7/2023,SfkEel_Miranda,EEL-3UP,36,110,riffle,7
9/7/2023,SfkEel_Miranda,EEL-3UP,37,100,riffle,7
9/7/2023,SfkEel_Miranda,EEL-3UP,38,67,riffle,7
9/7/2023,SfkEel_Miranda,EEL-3UP,39,80,riffle,8
9/7/2023,SfkEel_Miranda,EEL-3UP,40,50,riffle,8
9/7/2023,SfkEel_Miranda,EEL-3UP,41,34,riffle,8
9/7/2023,SfkEel_Miranda,EEL-3UP,42,65,riffle,8
9/7/2023,SfkEel_Miranda,EEL-3UP,43,185,riffle,8
9/7/2023,SfkEel_Miranda,EEL-3UP,44,30,riffle,9
9/7/2023,SfkEel_Miranda,EEL-3UP,45,110,riffle,9
9/7/2023,SfkEel_Miranda,EEL-3UP,46,16,riffle,9
9/7/2023,SfkEel_Miranda,EEL-3UP,47,20,riffle,9
9/7/2023,SfkEel_Miranda,EEL-3UP,48,50,riffle,10
9/7/2023,SfkEel_Miranda,EEL-3UP,49,100,riffle,10
9/7/2023,SfkEel_Miranda,EEL-3UP,50,30,riffle,10
9/7/2023,SfkEel_Miranda,EEL-3UP,51,90,riffle,10
9/7/2023,SfkEel_Miranda,EEL-3UP,52,150,riffle,10
9/7/2023,SfkEel_Miranda,EEL-3UP,53,63,riffle,11
9/7/2023,SfkEel_Miranda,EEL-3UP,54,100,riffle,11
9/7/2023,SfkEel_Miranda,EEL-3UP,55,52,riffle,11
9/7/2023,SfkEel_Miranda,EEL-3UP,56,120,riffle,11
9/7/2023,SfkEel_Miranda,EEL-3UP,57,62,riffle,12
9/7/2023,SfkEel_Miranda,EEL-3UP,58,48,pool,12
9/7/2023,SfkEel_Miranda,EEL-3UP,59,82,pool,12
9/7/2023,SfkEel_Miranda,EEL-3UP,60,16,pool,12
9/7/2023,SfkEel_Miranda,EEL-3UP,61,65,pool,12
9/7/2023,SfkEel_Miranda,EEL-3UP,62,14,pool,13
9/7/2023,SfkEel_Miranda,EEL-3UP,63,103,pool,13
9/7/2023,SfkEel_Miranda,EEL-3UP,64,45,pool,13
9/7/2023,SfkEel_Miranda,EEL-3UP,65,27,pool,14
9/7/2023,SfkEel_Miranda,EEL-3UP,66,25,pool,14
9/7/2023,SfkEel_Miranda,EEL-3UP,67,65,pool,14
9/7/2023,SfkEel_Miranda,EEL-3UP,68,18,pool,14
9/7/2023,SfkEel_Miranda,EEL-3UP,69,6,pool,15
9/7/2023,SfkEel_Miranda,EEL-3UP,70,4,pool,15
9/7/2023,SfkEel_Miranda,EEL-3UP,71,22,pool,15
9/7/2023,SfkEel_Miranda,EEL-3UP,72,sand,pool,15
9/7/2023,SfkEel_Miranda,EEL-3UP,73,2,pool,16
9/7/2023,SfkEel_Miranda,EEL-3UP,74,sand,pool,16
9/7/2023,SfkEel_Miranda,EEL-3UP,75,2,pool,16
9/7/2023,SfkEel_Miranda,EEL-3UP,76,sand,pool,17
9/7/2023,SfkEel_Miranda,EEL-3UP,77,85,pool,17
9/7/2023,SfkEel_Miranda,EEL-3UP,78,12,pool,17
9/7/2023,SfkEel_Miranda,EEL-3UP,79,7,pool,17
9/7/2023,SfkEel_Miranda,EEL-3UP,80,11,pool,18
9/7/2023,SfkEel_Miranda,EEL-3UP,81,sand,pool,18
9/7/2023,SfkEel_Miranda,EEL-3UP,82,30,pool,18
9/7/2023,SfkEel_Miranda,EEL-3UP,83,3,pool,19
9/7/2023,SfkEel_Miranda,EEL-3UP,84,15,pool,19
9/7/2023,SfkEel_Miranda,EEL-3UP,85,14,pool,19
9/7/2023,SfkEel_Miranda,EEL-3UP,86,25,pool,19
9/7/2023,SfkEel_Miranda,EEL-3UP,87,17,pool,20
9/7/2023,SfkEel_Miranda,EEL-3UP,88,11,pool,20
9/7/2023,SfkEel_Miranda,EEL-3UP,89,135,pool,20
9/7/2023,SfkEel_Miranda,EEL-3UP,90,65,pool,20
9/7/2023,SfkEel_Miranda,EEL-3UP,91,2,pool,21
9/7/2023,SfkEel_Miranda,EEL-3UP,92,32,pool,21
9/7/2023,SfkEel_Miranda,EEL-3UP,93,12,pool,21
9/7/2023,SfkEel_Miranda,EEL-3UP,94,22,pool,21
9/7/2023,SfkEel_Miranda,EEL-3UP,95,40,pool,22
9/7/2023,SfkEel_Miranda,EEL-3UP,96,9,pool,22
9/7/2023,SfkEel_Miranda,EEL-3UP,97,40,pool,22
9/7/2023,SfkEel_Miranda,EEL-3UP,98,130,pool,22
9/7/2023,SfkEel_Miranda,EEL-3UP,99,90,pool,23
9/7/2023,SfkEel_Miranda,EEL-3UP,100,14,pool,23
9/7/2023,SfkEel_Miranda,EEL-2UP,1,29,riffle,1
9/7/2023,SfkEel_Miranda,EEL-2UP,2,8,riffle,1
9/7/2023,SfkEel_Miranda,EEL-2UP,3,29,riffle,2
9/7/2023,SfkEel_Miranda,EEL-2UP,4,43,riffle,2
9/7/2023,SfkEel_Miranda,EEL-2UP,5,43,riffle,2
9/7/2023,SfkEel_Miranda,EEL-2UP,6,68,riffle,2
9/7/2023,SfkEel_Miranda,EEL-2UP,7,29,riffle,2
9/7/2023,SfkEel_Miranda,EEL-2UP,8,39,riffle,2
9/7/2023,SfkEel_Miranda,EEL-2UP,9,32,riffle,3
9/7/2023,SfkEel_Miranda,EEL-2UP,10,27,riffle,3
9/7/2023,SfkEel_Miranda,EEL-2UP,11,17,riffle,3
9/7/2023,SfkEel_Miranda,EEL-2UP,12,28,riffle,3
9/7/2023,SfkEel_Miranda,EEL-2UP,13,44,riffle,3
9/7/2023,SfkEel_Miranda,EEL-2UP,14,43,riffle,4
9/7/2023,SfkEel_Miranda,EEL-2UP,15,18,riffle,4
9/7/2023,SfkEel_Miranda,EEL-2UP,16,16,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,17,8,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,18,13,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,19,17,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,20,9,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,21,48,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,22,3,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,23,27,pool,4
9/7/2023,SfkEel_Miranda,EEL-2UP,24,33,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,25,4,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,26,6,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,27,47,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,28,7,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,29,48,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,30,40,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,31,16,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,32,19,pool,5
9/7/2023,SfkEel_Miranda,EEL-2UP,33,14,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,34,20,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,35,11,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,36,17,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,37,9,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,38,40,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,39,2,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,40,11,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,41,60,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,42,sand,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,43,20,pool,6
9/7/2023,SfkEel_Miranda,EEL-2UP,44,sand,pool,7
9/7/2023,SfkEel_Miranda,EEL-2UP,45,34,pool,7
9/7/2023,SfkEel_Miranda,EEL-2UP,46,23,pool,7
9/7/2023,SfkEel_Miranda,EEL-2UP,47,10,pool,7
9/7/2023,SfkEel_Miranda,EEL-2UP,48,10,pool,7
9/7/2023,SfkEel_Miranda,EEL-2UP,49,8,pool,7
9/7/2023,SfkEel_Miranda,EEL-2UP,50,6,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,51,15,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,52,14,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,53,25,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,54,25,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,55,68,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,56,13,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,57,56,pool,8
9/7/2023,SfkEel_Miranda,EEL-2UP,58,sand,pool,9
9/7/2023,SfkEel_Miranda,EEL-2UP,59,20,pool,9
9/7/2023,SfkEel_Miranda,EEL-2UP,60,5,pool,9
9/7/2023,SfkEel_Miranda,EEL-2UP,61,9,pool,9
9/7/2023,SfkEel_Miranda,EEL-2UP,62,8,pool,9
9/7/2023,SfkEel_Miranda,EEL-2UP,63,7,pool,9
9/7/2023,SfkEel_Miranda,EEL-2UP,64,24,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,65,11,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,66,3,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,67,16,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,68,15,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,69,sand,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,70,30,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,71,34,pool,10
9/7/2023,SfkEel_Miranda,EEL-2UP,72,sand,pool,11
9/7/2023,SfkEel_Miranda,EEL-2UP,73,19,pool,11
9/7/2023,SfkEel_Miranda,EEL-2UP,74,31,pool,11
9/7/2023,SfkEel_Miranda,EEL-2UP,75,13,pool,11
9/7/2023,SfkEel_Miranda,EEL-2UP,76,22,pool,11
9/7/2023,SfkEel_Miranda,EEL-2UP,77,24,pool,12
9/7/2023,SfkEel_Miranda,EEL-2UP,78,18,pool,12
9/7/2023,SfkEel_Miranda,EEL-2UP,79,10,pool,12
9/7/2023,SfkEel_Miranda,EEL-2UP,80,28,pool,12
9/7/2023,SfkEel_Miranda,EEL-2UP,81,10,pool,12
9/7/2023,SfkEel_Miranda,EEL-2UP,82,27,pool,12
9/7/2023,SfkEel_Miranda,EEL-2UP,83,44,pool,13
9/7/2023,SfkEel_Miranda,EEL-2UP,84,25,pool,13
9/7/2023,SfkEel_Miranda,EEL-2UP,85,26,pool,14
9/7/2023,SfkEel_Miranda,EEL-2UP,86,42,pool,14
9/7/2023,SfkEel_Miranda,EEL-2UP,87,17,pool,14
9/7/2023,SfkEel_Miranda,EEL-2UP,88,13,pool,14
9/7/2023,SfkEel_Miranda,EEL-2UP,89,8,pool,14
9/7/2023,SfkEel_Miranda,EEL-2UP,90,15,pool,14
9/7/2023,SfkEel_Miranda,EEL-2UP,91,6,pool,15
9/7/2023,SfkEel_Miranda,EEL-2UP,92,15,pool,15
9/7/2023,SfkEel_Miranda,EEL-2UP,93,15,pool,16
9/7/2023,SfkEel_Miranda,EEL-2UP,94,8,pool,16
9/7/2023,SfkEel_Miranda,EEL-2UP,95,48,pool,16
9/7/2023,SfkEel_Miranda,EEL-2UP,96,32,pool,16
