Date,Site,Transect,Meas_Type,Depth_cm_initial,Depth_ft_initial,Width_m,Depth_cm_final,Approx_lat,Approx_long,Width_method
8/17/2023,Russian,9,Width,,,14.2,,38.8165557,-123.0113993,range_finder
8/17/2023,Russian,9,Depth,40,,,40,,,
8/17/2023,Russian,9,Depth,40,,,40,,,
8/17/2023,Russian,9,Depth,45,,,45,,,
8/17/2023,Russian,9,Depth,70,,,70,,,
8/17/2023,Russian,9,Depth,80,,,80,,,
8/17/2023,Russian,9,Depth,110,,,110,,,
8/17/2023,Russian,9,Depth,110,,,110,,,
8/17/2023,Russian,9,Depth,95,,,95,,,
8/17/2023,Russian,10,Width,,,17.3,,38.8160199,-123.0111605,range_finder
8/17/2023,Russian,10,Depth,,3.1,,94,,,
8/17/2023,Russian,10,Depth,,2.9,,88,,,
8/17/2023,Russian,10,Depth,,3,,91,,,
8/17/2023,Russian,10,Depth,,3,,91,,,
8/17/2023,Russian,10,Depth,,3.8,,116,,,
8/17/2023,Russian,10,Depth,,4.9,,149,,,
8/17/2023,Russian,10,Depth,,3.8,,116,,,
8/17/2023,Russian,10,Depth,,2.3,,70,,,
8/17/2023,Russian,11,Width,,,11.6,,38.815053,-123.0111061,range_finder
8/17/2023,Russian,11,Depth,40,,,40,,,
8/17/2023,Russian,11,Depth,50,,,50,,,
8/17/2023,Russian,11,Depth,75,,,75,,,
8/17/2023,Russian,11,Depth,80,,,80,,,
8/17/2023,Russian,11,Depth,85,,,85,,,
8/17/2023,Russian,11,Depth,100,,,100,,,
8/17/2023,Russian,11,Depth,115,,,115,,,
8/17/2023,Russian,11,Depth,90,,,90,,,
8/17/2023,Russian,12,Width,,,21.3,,38.8146112,-123.0110731,range_finder
8/17/2023,Russian,12,Depth,20,,,20,,,
8/17/2023,Russian,12,Depth,60,,,60,,,
8/17/2023,Russian,12,Depth,65,,,65,,,
8/17/2023,Russian,12,Depth,80,,,80,,,
8/17/2023,Russian,12,Depth,95,,,95,,,
8/17/2023,Russian,12,Depth,80,,,80,,,
8/17/2023,Russian,12,Depth,20,,,20,,,
8/17/2023,Russian,12,Depth,40,,,40,,,
8/17/2023,Russian,13,Width,,,10.5,,38.8086581,-123.0079735,measuring_tape
8/17/2023,Russian,13,Depth,22,,,22,,,
8/17/2023,Russian,13,Depth,18,,,18,,,
8/17/2023,Russian,13,Depth,16,,,16,,,
8/17/2023,Russian,13,Depth,28,,,28,,,
8/17/2023,Russian,13,Depth,40,,,40,,,
8/17/2023,Russian,13,Depth,60,,,60,,,
8/17/2023,Russian,13,Depth,95,,,95,,,
8/17/2023,Russian,13,Depth,95,,,95,,,
8/17/2023,Russian,14,Width,,,20.9,,??,??,measuring_tape
8/17/2023,Russian,14,Depth,90,,,90,,,
8/17/2023,Russian,14,Depth,85,,,85,,,
8/17/2023,Russian,14,Depth,75,,,75,,,
8/17/2023,Russian,14,Depth,65,,,65,,,
8/17/2023,Russian,14,Depth,55,,,55,,,
8/17/2023,Russian,14,Depth,36,,,36,,,
8/17/2023,Russian,14,Depth,15,,,15,,,
8/17/2023,Russian,14,Depth,11,,,11,,,
8/17/2023,Russian,15,Width,,,22.6,,38.8077595,-123.0076851,measuring_tape
8/17/2023,Russian,15,Depth,90,,,90,,,
8/17/2023,Russian,15,Depth,50,,,50,,,
8/17/2023,Russian,15,Depth,32,,,32,,,
8/17/2023,Russian,15,Depth,25,,,25,,,
8/17/2023,Russian,15,Depth,32,,,32,,,
8/17/2023,Russian,15,Depth,30,,,30,,,
8/17/2023,Russian,15,Depth,40,,,40,,,
8/17/2023,Russian,15,Depth,65,,,65,,,
