ESF_ID,site_reach,triplicate,field_date,sample_type,lyophilize_date,ext_weight_mg,ext_volume_mL,ext_method
24-086,RUS-2,n,7/20/2022,NT,3/8/2023,46,2,50% methanol
24-087,BLANK 3,n,NA,BLANK,NA,0,10,50% methanol
24-088,RUS-3,n,7/20/2022,NT,3/8/2023,45.5,2,50% methanol
24-089,SFE-M-1S,n,7/28/2022,NT,3/8/2023,57.4,5,50% methanol
24-090,SFE-M-3,n,7/28/2022,NT,3/8/2023,29.3,2,50% methanol
24-091,SFE-M-4,n,7/28/2022,NT,3/8/2023,48.8,2,50% methanol
24-092,RUS-1S,n,8/2/2022,NT,3/8/2023,38.1,2,50% methanol
24-093,RUS-2,n,8/2/2022,NT,3/8/2023,45.4,2,50% methanol
24-094,RUS-3,n,8/2/2022,NT,3/8/2023,21.2,2,50% methanol
24-095,SFE-M-1S,n,8/10/2022,NT,4/14/2023,77.3,5,50% methanol
24-096,SFE-M-3,n,8/10/2022,NT,3/8/2023,55.1,5,50% methanol
24-097,SFE-M-4,n,8/10/2022,NT,3/31/2023,60.4,5,50% methanol
24-098,RUS-1S,n,8/17/2022,NT,4/14/2023,58.2,5,50% methanol
24-099,RUS-2,n,8/17/2022,NT,3/31/2023,160.8,10,50% methanol
24-100,RUS-3,n,8/17/2022,NT,3/31/2023,52.1,5,50% methanol
24-101,SFE-M-1S,n,8/23/2022,NT,3/31/2023,28.7,2,50% methanol
24-102,SFE-M-3,n,8/23/2022,NT,3/31/2023,34,2,50% methanol
24-103,SFE-M-4,n,8/23/2022,NT,12/23/2023,38.6,2,50% methanol
24-104,RUS-1S,n,9/1/2022,NT,3/8/2023,95.3,5,50% methanol
24-105,RUS-2,n,9/1/2022,NT,3/31/2023,109.7,5,50% methanol
24-106,RUS-3,n,9/1/2022,NT,3/8/2023,198.4,10,50% methanol
24-107,SFE-M-1S,n,9/6/2022,NT,3/31/2023,104,5,50% methanol
24-108,SFE-M-3,n,9/6/2022,NT,3/31/2023,26.6,2,50% methanol
24-109,SFE-M-4,n,9/6/2022,NT,3/31/2023,94.9,5,50% methanol
24-110,RUS-1S,n,9/15/2022,NT,3/8/2023,73.5,5,50% methanol
24-111,RUS-2,n,9/15/2022,NT,3/31/2023,107.3,5,50% methanol
24-112,RUS-3,n,9/15/2022,NT,3/8/2023,57.9,5,50% methanol
24-113,SFE-M-1S,n,9/17/2022,NT,3/31/2023,142.5,5,50% methanol
24-114,SFE-M-3,n,9/17/2022,NT,3/8/2023,39.5,2,50% methanol
24-115,SFE-M-4,n,9/17/2022,NT,12/23/2023,14.1,2,50% methanol
24-116,BLANK 4,n,NA,BLANK,NA,0,10,50% methanol
24-117,SAL-1S,n,9/22/2022,NT,12/23/2023,29.5,2,50% methanol
24-118,SAL-2,n,9/22/2022,NT,3/31/2023,22.6,2,50% methanol
24-119,SAL-3,n,9/22/2022,NT,3/31/2023,16.4,2,50% methanol
24-120,SAL-1S,n,6/27/2022,NT,11/13/2023,6.8,2,50% methanol
24-121,SAL-3,n,6/27/2022,NT,11/13/2023,14.5,2,50% methanol
24-122,SAL-1S,n,7/12/2022,NT,12/8/2023,5.4,2,50% methanol
24-123,SAL-2,n,7/12/2022,NT,12/8/2023,2.5,2,50% methanol
24-124,SAL-3,n,7/12/2022,NT,11/13/2023,1.3,2,50% methanol
24-125,SAL-1S,n,7/26/2022,NT,11/13/2023,30.1,2,50% methanol
24-126,SAL-2,n,7/26/2022,NT,12/8/2023,19.1,2,50% methanol
24-127,SAL-3,n,7/26/2022,NT,12/8/2023,12,2,50% methanol
24-128,SAL-3,n,6/28/2023,TM,10/7/2023,222,10,50% methanol
24-129,SFE-M-3,n,7/3/2023,TM,10/15/2023,203,10,50% methanol
24-130,SFE-M-1S,n,7/10/2023,TM,10/15/2023,191.2,10,50% methanol
24-131,SFE-M-2,n,7/10/2023,TM,10/7/2023,236.3,10,50% methanol
24-132,SFE-M-3,y,7/10/2023,TM,10/15/2023,247.9,10,50% methanol
24-133,SFE-M-3,y,7/10/2023,TM,10/15/2023,209.5,10,50% methanol
24-134,SFE-M-3,y,7/10/2023,TM,10/15/2023,212.2,10,50% methanol
24-135,SFE-SH-1S,n,7/11/2023,TM,10/15/2023,193.4,10,50% methanol
24-136,SAL-1S,y,7/13/2023,TM,10/15/2023,189.2,10,50% methanol
24-137,SAL-1S,y,7/13/2023,TM,10/15/2023,177.5,10,50% methanol
24-138,SAL-1S,y,7/13/2023,TM,10/15/2023,185.2,10,50% methanol
24-139,BLANK 5,n,NA,BLANK,NA,0,10,50% methanol
24-140,SAL-2,n,7/13/2023,TM,10/15/2023,224.4,10,50% methanol
24-141,SAL-3,n,7/13/2023,TM,10/15/2023,197.8,10,50% methanol
24-142,SFE-SH-1S,n,7/17/2023,TM,10/15/2023,214.6,10,50% methanol
24-143,SFE-M-1S,n,7/17/2023,TM,10/15/2023,205.6,10,50% methanol
24-144,SFE-M-3,y,7/17/2023,TM,10/15/2023,205.7,10,50% methanol
24-145,SFE-M-3,y,7/17/2023,TM,10/15/2023,244.4,10,50% methanol
24-146,SFE-M-3,y,7/17/2023,TM,10/15/2023,218.8,10,50% methanol
24-147,SFE-SH-1S,n,7/24/2023,TM,10/15/2023,191.6,10,50% methanol
24-148,SFE-M-1S,n,7/24/2023,TM,10/15/2023,210.5,10,50% methanol
24-149,SFE-M-2,n,7/24/2023,TM,10/15/2023,219,10,50% methanol
24-150,SFE-M-3,n,7/24/2023,TM,10/15/2023,185.7,10,50% methanol
24-151,SAL-1S,n,7/27/2023,TM,10/15/2023,213.1,10,50% methanol
24-152,SAL-2,n,7/27/2023,TM,10/15/2023,245.1,10,50% methanol
24-153,SAL-3,n,7/27/2023,TM,10/15/2023,221.1,10,50% methanol
24-154,SFE-SH-1S,n,7/31/2023,TM,10/15/2023,181.2,10,50% methanol
24-155,SFE-M-1S,y,7/31/2023,TM,10/15/2023,208.6,10,50% methanol
24-156,SFE-M-1S,y,7/31/2023,TM,10/15/2023,194.2,10,50% methanol
24-157,SFE-M-1S,y,7/31/2023,TM,10/15/2023,204.3,10,50% methanol
24-158,SFE-M-2,n,7/31/2023,TM,10/15/2023,197.2,10,50% methanol
24-159,SFE-M-3,n,7/31/2023,TM,10/15/2023,191.2,10,50% methanol
24-160,SFE-M-1S,y,8/7/2023,TM,11/3/2023,191.5,10,50% methanol
24-161,SFE-M-1S,y,8/7/2023,TM,11/3/2023,207.1,10,50% methanol
24-162,SFE-M-1S,y,8/7/2023,TM,11/3/2023,195,10,50% methanol
24-163,SFE-M-2,n,8/7/2023,TM,11/3/2023,224.7,10,50% methanol
24-164,SFE-M-3,n,8/7/2023,TM,11/3/2023,227.1,10,50% methanol
24-165,SFE-M-4,n,8/7/2023,TM,10/11/2023,230.9,10,50% methanol
24-166,SAL-1S,y,8/10/2023,TM,11/3/2023,211.6,10,50% methanol
24-167,SAL-1S,y,8/10/2023,TM,11/3/2023,201.8,10,50% methanol
24-168,SAL-1S,y,8/10/2023,TM,11/3/2023,189.3,10,50% methanol
24-169,BLANK 6,n,NA,BLANK,NA,0,10,50% methanol
24-170,SAL-2,n,8/10/2023,TM,11/3/2023,198.3,10,50% methanol
24-171,SAL-3,n,8/10/2023,TM,11/3/2023,196.8,10,50% methanol
24-172,SFE-SH-1S,n,8/14/2023,TM,11/3/2023,159.9,10,50% methanol
24-173,SFE-M-1S,n,8/14/2023,TM,11/3/2023,207.4,10,50% methanol
24-174,SFE-M-2,n,8/14/2023,TM,11/3/2023,184,10,50% methanol
24-175,SFE-M-3,y,8/14/2023,TM,11/3/2023,207,10,50% methanol
24-176,SFE-M-3,y,8/14/2023,TM,11/3/2023,199.2,10,50% methanol
24-177,SFE-M-3,y,8/14/2023,TM,11/3/2023,231.3,10,50% methanol
24-178,SFE-SH-1S,n,8/22/2023,TM,11/3/2023,242,10,50% methanol
24-179,SFE-M-1S,n,8/22/2023,TM,11/3/2023,232.5,10,50% methanol
24-180,SFE-M-2,n,8/22/2023,TM,11/3/2023,195.4,10,50% methanol
24-181,SFE-M-3,y,8/22/2023,TM,11/3/2023,213.2,10,50% methanol
24-182,SFE-M-3,y,8/22/2023,TM,11/3/2023,212.8,10,50% methanol
24-183,SFE-M-3,y,8/22/2023,TM,11/3/2023,217.9,10,50% methanol
24-184,SFE-M-4,n,8/22/2023,TM,11/3/2023,219.9,10,50% methanol
24-185,SFE-SH-1S,y,8/28/2023,TM,11/3/2023,150.6,10,50% methanol
24-186,SFE-SH-1S,y,8/28/2023,TM,11/3/2023,152.9,10,50% methanol
24-187,SFE-SH-1S,y,8/28/2023,TM,11/3/2023,150,10,50% methanol
24-188,SFE-M-1S,n,8/28/2023,TM,11/3/2023,216.2,10,50% methanol
24-189,SFE-M-2,n,8/28/2023,TM,11/3/2023,244.7,10,50% methanol
24-190,SFE-M-3,n,8/28/2023,TM,11/3/2023,245,10,50% methanol
24-191,SFE-SH-1S,n,9/4/2023,TM,11/3/2023,192.7,10,50% methanol
24-192,SFE-M-1S,y,9/4/2023,TM,11/3/2023,186.4,10,50% methanol
24-193,SFE-M-1S,y,9/4/2023,TM,11/3/2023,210.3,10,50% methanol
24-194,SFE-M-1S,y,9/4/2023,TM,11/3/2023,195.7,10,50% methanol
24-195,SFE-M-2,n,9/4/2023,TM,11/3/2023,186.5,10,50% methanol
24-196,SFE-M-3,n,9/4/2023,TM,11/3/2023,237.6,10,50% methanol
24-197,SFE-M-4,n,9/4/2023,TM,10/11/2023,197.6,10,50% methanol
24-198,BLANK 7,n,NA,BLANK,NA,0,10,50% methanol
24-199,SFE-SH-1S,n,9/12/2023,TM,10/15/2023,216,10,50% methanol
24-200,SFE-M-1S,n,9/12/2023,TM,10/15/2023,215.9,10,50% methanol
24-201,SFE-M-2,y,9/12/2023,TM,11/13/2023,221.3,10,50% methanol
24-202,SFE-M-2,y,9/12/2023,TM,11/13/2023,213.3,10,50% methanol
24-203,SFE-M-2,y,9/12/2023,TM,11/13/2023,200.9,10,50% methanol
24-204,SFE-M-3,n,9/12/2023,TM,11/13/2023,209.9,10,50% methanol
24-205,SFE-M-4,n,9/12/2023,TM,10/15/2023,236.8,10,50% methanol
24-206,SFE-SH-1S,n,9/18/2023,TM,11/13/2023,217.6,10,50% methanol
24-207,SFE-M-1S,n,9/18/2023,TM,11/13/2023,235,10,50% methanol
24-208,SFE-M-2,n,9/18/2023,TM,11/13/2023,196,10,50% methanol
24-209,SFE-M-3,n,9/18/2023,TM,11/13/2023,235,10,50% methanol
24-210,SFE-M-4,y,9/18/2023,TM,11/13/2023,199.8,10,50% methanol
24-211,SFE-M-4,y,9/18/2023,TM,11/13/2023,220.9,10,50% methanol
24-212,SFE-M-4,y,9/18/2023,TM,11/13/2023,244.5,10,50% methanol
24-213,SFE-SH-1S,n,9/24/2023,TM,11/13/2023,238.4,10,50% methanol
24-214,SFE-M-1S,n,9/24/2023,TM,11/13/2023,246,10,50% methanol
24-215,SFE-M-2,y,9/24/2023,TM,11/13/2023,160.2,10,50% methanol
24-216,SFE-M-2,y,9/24/2023,TM,11/13/2023,233.5,10,50% methanol
24-217,SFE-M-2,y,9/24/2023,TM,11/13/2023,177,10,50% methanol
24-218,SFE-M-3,n,9/24/2023,TM,11/13/2023,190.1,10,50% methanol
24-219,SFE-M-4,n,9/24/2023,TM,11/13/2023,213.2,10,50% methanol
24-220,SFE-M-1S,n,7/10/2023,TAC,10/7/2023,172.4,10,50% methanol
24-221,SFE-M-4,n,7/10/2023,TAC,10/15/2023,69.3,5,50% methanol
24-222,SFE-M-1S,y,7/17/2023,TAC,11/3/2023,87.2,5,50% methanol
24-223,SFE-M-1S,y,7/17/2023,TAC,11/3/2023,56.5,5,50% methanol
24-224,SFE-M-1S,y,7/17/2023,TAC,11/3/2023,50.2,5,50% methanol
24-225,SFE-M-4,n,7/17/2023,TAC,10/7/2023,204.9,10,50% methanol
24-226,SFE-SH-1S,n,7/24/2023,TAC,10/7/2023,106.6,5,50% methanol
24-227,BLANK 8,n,NA,BLANK,NA,0,10,50% methanol
24-228,SFE-M-1S,n,7/24/2023,TAC,11/3/2023,201.8,10,50% methanol
24-229,SFE-M-2,n,7/24/2023,TAC,10/7/2023,209.2,10,50% methanol
24-230,SFE-M-3,n,7/24/2023,TAC,11/3/2023,239.4,10,50% methanol
24-231,SFE-M-4,n,7/24/2023,TAC,11/3/2023,214.4,10,50% methanol
24-232,SFE-SH-1S,n,7/31/2023,TAC,11/3/2023,132.1,5,50% methanol
24-233,SFE-M-1S,y,7/31/2023,TAC,11/3/2023,179.1,10,50% methanol
24-234,SFE-M-1S,y,7/31/2023,TAC,11/3/2023,198.1,10,50% methanol
24-235,SFE-M-1S,y,7/31/2023,TAC,11/3/2023,203.6,10,50% methanol
24-236,SFE-M-2,n,7/31/2023,TAC,11/3/2023,226.6,10,50% methanol
24-237,SFE-M-3,n,7/31/2023,TAC,11/3/2023,114.4,5,50% methanol
24-238,SFE-M-4,n,7/31/2023,TAC,11/3/2023,232.4,10,50% methanol
24-239,SFE-SH-1S,n,8/7/2023,TAC,11/3/2023,134.8,5,50% methanol
24-240,SFE-M-1S,y,8/7/2023,TAC,11/3/2023,188.6,10,50% methanol
24-241,SFE-M-1S,y,8/7/2023,TAC,11/3/2023,212.2,10,50% methanol
24-242,SFE-M-1S,y,8/7/2023,TAC,11/3/2023,200.5,10,50% methanol
24-243,SFE-M-2,n,8/7/2023,TAC,11/3/2023,189.8,10,50% methanol
24-244,SFE-M-3,n,8/7/2023,TAC,11/3/2023,217.8,10,50% methanol
24-245,SFE-M-4,n,8/7/2023,TAC,10/7/2023,98.6,5,50% methanol
24-246,SFE-SH-1S,n,8/14/2023,TAC,11/3/2023,187.4,10,50% methanol
24-247,SFE-M-1S,n,8/14/2023,TAC,11/3/2023,170.1,10,50% methanol
24-248,SFE-M-2,n,8/14/2023,TAC,11/3/2023,183.5,10,50% methanol
24-249,SFE-M-3,y,8/14/2023,TAC,11/3/2023,97.5,5,50% methanol
24-250,SFE-M-3,y,8/14/2023,TAC,11/3/2023,121.9,5,50% methanol
24-251,SFE-M-3,y,8/14/2023,TAC,11/3/2023,88.2,5,50% methanol
24-252,SFE-M-4,n,8/14/2023,TAC,10/11/2023,229.4,10,50% methanol
24-253,SFE-SH-1S,n,8/22/2023,TAC,11/3/2023,221.1,10,50% methanol
24-254,SFE-M-1S,n,8/22/2023,TAC,11/3/2023,235.5,10,50% methanol
24-255,SFE-M-2,n,8/22/2023,TAC,11/3/2023,175.1,10,50% methanol
24-256,BLANK 9,n,NA,BLANK,NA,0,10,50% methanol
24-257,SFE-M-3,y,8/22/2023,TAC,11/13/2023,156.6,10,50% methanol
24-258,SFE-M-3,y,8/22/2023,TAC,11/13/2023,177.1,10,50% methanol
24-259,SFE-M-3,y,8/22/2023,TAC,11/13/2023,199.2,10,50% methanol
24-260,SFE-M-4,n,8/22/2023,TAC,11/13/2023,103.8,5,50% methanol
24-261,SFE-M-1S,n,8/28/2023,TAC,11/13/2023,99.4,5,50% methanol
24-262,SFE-M-3,n,8/28/2023,TAC,11/13/2023,236,10,50% methanol
24-263,SFE-M-1S,n,9/4/2023,TAC,11/13/2023,169.2,10,50% methanol
24-264,SFE-M-2,n,9/4/2023,TAC,11/13/2023,191.1,10,50% methanol
24-265,SFE-M-1S,n,9/12/2023,TAC,11/13/2023,182,10,50% methanol
24-266,SFE-SH-1S,n,9/18/2023,TAC,11/13/2023,129.4,5,50% methanol
24-267,SFE-M-1S,n,9/18/2023,TAC,11/13/2023,78.2,5,50% methanol
24-268,SFE-M-2,y,9/18/2023,TAC,11/13/2023,179.7,10,50% methanol
24-269,SFE-M-2,y,9/18/2023,TAC,11/13/2023,207.6,10,50% methanol
24-270,SFE-M-2,y,9/18/2023,TAC,11/13/2023,209.5,10,50% methanol
24-271,SFE-M-3,n,9/18/2023,TAC,11/13/2023,98,5,50% methanol
24-272,SFE-SH-1S,n,9/24/2023,TAC,11/13/2023,95.8,5,50% methanol
24-273,SFE-M-1S,n,9/24/2023,TAC,11/13/2023,23.6,2,50% methanol
24-274,SFE-M-2,y,9/24/2023,TAC,12/8/2023,64.1,5,50% methanol
24-275,SFE-M-2,y,9/24/2023,TAC,12/8/2023,96.5,5,50% methanol
24-276,SFE-M-2,y,9/24/2023,TAC,12/8/2023,72.7,5,50% methanol
24-277,SAL-1S,n,6/28/2023,NT,12/8/2023,100.2,5,50% methanol
24-278,SAL-2,n,6/28/2023,NT,12/8/2023,117.7,5,50% methanol
24-279,SAL-3,n,6/28/2023,NT,12/8/2023,125.3,5,50% methanol
24-280,SAL-1S,n,7/13/2023,NT,12/8/2023,25.1,2,50% methanol
24-281,SAL-2,n,7/13/2023,NT,12/8/2023,49.8,2,50% methanol
24-282,SAL-3,n,7/13/2023,NT,12/8/2023,197.1,10,50% methanol
24-283,SAL-1S,n,7/27/2023,NT,12/23/2023,40.2,2,50% methanol
24-284,SAL-2,n,7/27/2023,NT,11/13/2023,47.8,2,50% methanol
24-285,BLANK 10,n,NA,BLANK,NA,0,10,50% methanol
24-286,SAL-3,n,7/27/2023,NT,12/8/2023,6.4,2,50% methanol
24-287,SAL-1S,n,8/10/2023,NT,12/8/2023,17.8,2,50% methanol
24-288,SAL-2,n,8/10/2023,NT,12/8/2023,3.3,2,50% methanol
24-289,SAL-3,n,8/10/2023,NT,11/13/2023,11.7,2,50% methanol
24-290,Mat 1,n,9/24/2023,TM,10/15/2023,226.5,10,50% methanol
24-291,Mat 2,n,9/24/2023,TM,11/13/2023,221.4,10,50% methanol
24-292,Mat 3,n,9/24/2023,TM,10/15/2023,200.3,10,50% methanol
24-293,Mat 4,n,9/24/2023,TM,11/13/2023,212.9,10,50% methanol
24-294,Mat 5,n,9/24/2023,TM,10/15/2023,211.7,10,50% methanol
24-295,Mat 6,n,9/24/2023,TM,10/15/2023,175.1,10,50% methanol
24-296,Mat 7,n,9/24/2023,TM,10/15/2023,224,10,50% methanol
24-297,Mat 8,n,9/24/2023,TM,11/13/2023,224.8,10,50% methanol
24-298,Mat 9,n,9/24/2023,TM,11/13/2023,223.5,10,50% methanol
24-299,SFE-M-1S,n,9/24/2023,Gloetrichia,10/15/2023,201.2,10,50% methanol
24-300,SFE-M-4,n,9/24/2023,Gloetrichia,10/15/2023,193.1,10,50% methanol
24-301,Poudre,n,10/10/2023,Microcoleus,12/8/2023,208.5,10,50% methanol
