"field_date","site_reach","sample_type","Chla_ug_mg","Pheo_ug_mg"
"7/24/2023","SFE-SH-1S","TM",5.56880173016165,0.132935372801416
"7/13/2023","SAL-2","TM",1.68930946788263,0.104822528257986
"7/13/2023","SAL-3","TM",1.89681514382908,0.123226913418407
"6/28/2023","SAL-3","TM",0.866779613584425,0.011696298768466
"7/10/2023","SFE-M-2","TM",1.19795752066313,0.0140366792254497
"7/17/2023","SFE-SH-1S","TM",9.91696910398525,0.217229327386723
"7/10/2023","SFE-M-1S","TAC",8.22876703554881,0.305541810633056
"7/10/2023","SFE-M-4","TAC",2.60745120651379,0.216386886404271
"7/17/2023","SFE-M-4","TAC",3.38352174444982,0.48088573674453
"7/24/2023","SFE-SH-1S","TAC",5.5833093128332,0.479884311975176
"7/24/2023","SFE-M-1S","TAC",4.81133496579236,0.751492553568943
"7/24/2023","SFE-M-2","TAC",4.81592129451,0.404782004878345
"7/27/2023","SAL-1S","TM",2.22405129728226,0.0234464793259217
"7/31/2023","SFE-SH-1S","TM",4.25822131520163,0.262256789379415
"7/24/2023","SFE-M-3","TAC",3.24549982177815,0.158225334926424
"7/24/2023","SFE-M-4","TAC",3.72058730089149,0.709439139256089
"7/31/2023","SFE-SH-1S","TAC",5.53173845256165,0.529671634671853
"7/31/2023","SFE-M-2","TAC",4.00180999640136,0.370758142212548
"7/31/2023","SFE-M-3","TAC",4.58097755300251,0.569595576901292
"7/31/2023","SFE-M-4","TAC",6.84478887067217,0.958034483147868
"8/7/2023","SFE-SH-1S","TAC",5.63666847567547,0.532708403720129
"8/7/2023","SFE-M-2","TAC",1.68568029733087,0.0965166503430095
"8/7/2023","SFE-M-3","TAC",3.56479780752344,0.384769887305765
"8/7/2023","SFE-M-4","TAC",5.99930941947503,0.243603456684017
"8/14/2023","SFE-SH-1S","TAC",5.43689853364054,0.598312506957297
"8/14/2023","SFE-M-1S","TAC",5.60908642651145,0.830855748335978
"8/14/2023","SFE-M-2","TAC",3.75575953158364,0.129204177042087
"7/24/2023","SFE-M-2","TM",2.2359414059793,0.0407493543097854
"7/24/2023","SFE-M-3","TM",5.53210093944223,0.0540906592645395
"7/27/2023","SAL-2","TM",2.21800264297197,0.0552418455974434
"7/27/2023","SAL-3","TM",2.08861776994029,0.0137697034087141
"7/31/2023","SFE-M-3","TM",9.07242803197186,0.156088710044982
"8/14/2023","SFE-M-4","TAC",3.59158676760975,0.632793129753085
"8/22/2023","SFE-SH-1S","TAC",4.46384330637056,1.49813377600318
"8/22/2023","SFE-M-1S","TAC",3.8187901385011,0.51096252696693
"8/22/2023","SFE-M-2","TAC",2.85774157186741,0.269858350441835
"8/22/2023","SFE-M-4","TAC",3.83414528356005,1.07422261174503
"8/28/2023","SFE-M-1S","TAC",5.18828215676862,1.17874974521578
"8/28/2023","SFE-M-3","TAC",2.86246508679674,0.394472416101105
"9/4/2023","SFE-M-1S","TAC",5.36635985128895,0.76226579660674
"9/12/2023","SFE-M-1S","TAC",3.39294145744772,0.192950213877402
"9/18/2023","SFE-SH-1S","TAC",5.40880346812355,0.893553889686875
"9/18/2023","SFE-M-1S","TAC",3.41162120500362,0.176419128622379
"9/18/2023","SFE-M-3","TAC",1.78786892097088,0.150514248476122
"9/24/2023","SFE-SH-1S","TAC",6.66977518775126,0.978423510038727
"9/24/2023","SFE-M-1S","TAC",3.12076779741245,0.170879367154504
"9/4/2023","SFE-M-2","TAC",1.54458503114521,0.0418749137901605
"8/7/2023","SFE-M-3","TM",7.88958980903741,0.031197716712036
"8/22/2023","SFE-M-1S","TM",13.3626865126904,0.816857147112983
"8/22/2023","SFE-M-4","TM",6.84934974285411,0.781143234167769
"8/14/2023","SFE-SH-1S","TM",13.4169863558644,0.339210596435536
"8/22/2023","SFE-M-2","TM",15.3124366626218,0.182690997234571
"9/4/2023","SFE-SH-1S","TM",13.8162247697288,0.399439321318414
"9/4/2023","SFE-M-4","TM",5.48253293535525,0.0260159812097594
"8/7/2023","SFE-M-2","TM",8.05115767172504,0.233251270878279
"8/7/2023","SFE-M-4","TM",1.13690319507463,0.0627431659276601
"8/10/2023","SAL-2","TM",2.92628301775293,0.170506296382604
"8/14/2023","SFE-M-1S","TM",8.78380585464611,0.556083473085505
"8/14/2023","SFE-M-2","TM",19.8446373967772,1.52003277413342
"8/22/2023","SFE-SH-1S","TM",19.0964291911836,2.0061779813486
"9/12/2023","SFE-M-1S","TM",9.2763763651215,1.04057139975383
"9/24/2023","SFE-SH-1S","TM",10.3862485627078,1.91170752016521
"9/24/2023","SFE-M-1S","TM",14.9135557274794,0.264967756077211
"9/24/2023","SFE-M-3","TM",16.0782346405876,0.0340615809131934
"9/24/2023","SFE-M-4","TM",15.2679287519338,0.944387266927392
"9/24/2023","Mat 2","riffle_exp",12.6267829926872,3.24045582217852
"9/24/2023","Mat 3","riffle_exp",13.0888411936141,0.256518691770638
"9/24/2023","Mat 4","riffle_exp",11.2141713030438,3.25310458665877
"9/24/2023","Mat 5","riffle_exp",11.7038441344974,1.15674491425049
"9/24/2023","Mat 6","riffle_exp",13.4206115948721,2.29639378574135
"9/24/2023","Mat 9","riffle_exp",13.4360801722575,0.896040051445289
"8/28/2023","SFE-M-1S","TM",13.9075985179894,0.0199540047173045
"8/28/2023","SFE-M-3","TM",8.16437586947744,2.57267470652272
"9/24/2023","Mat 8","riffle_exp",11.8368226073065,4.12114497163337
"9/4/2023","SFE-M-2","TM",14.585050814037,1.60157992360969
"9/4/2023","SFE-M-3","TM",13.8768921912851,0.00690021500801954
"9/12/2023","SFE-SH-1S","TM",4.58812796822413,6.37405012687974
"9/12/2023","SFE-M-1S","TM",16.3154560513882,2.4657704100243
"9/12/2023","SFE-M-3","TM",22.668334553092,1.51087920403518
"9/12/2023","SFE-M-4","TM",10.5809155974954,1.36249578208627
"9/18/2023","SFE-SH-1S","TM",14.1095956538144,1.55059921403266
"9/18/2023","SFE-M-1S","TM",14.5940611577872,0.861056883054194
"9/18/2023","SFE-M-3","TM",13.3538611958437,0.153574957669004
"9/24/2023","Mat 1","riffle_exp",16.8548849129032,0.316006049270622
"9/24/2023","Mat 7","riffle_exp",10.0729006000127,1.00438660228173
"7/3/2023","SFE-M-3","TM",6.72041808877024,0.381650226240223
"7/10/2023","SFE-M-1S","TM",7.00915329646886,0.703837083780294
"7/11/2023","SFE-SH-1S","TM",6.16110449260449,0.292674385382595
"7/17/2023","SFE-M-1S","TM",9.56230003761592,0.715215009481931
"7/24/2023","SFE-M-1S","TM",10.1040211861896,0.552287874979569
"7/31/2023","SFE-M-2","TM",6.33963166954858,0.537497561986666
"8/10/2023","SAL-3","TM",3.41033337629206,0.157533226296908
"9/12/2023","SFE-SH-1S","TM",11.2466649094985,0.99895149769275
"9/18/2023","SFE-M-2","TM",14.6761069846081,0.324888771102825
"8/28/2023","SFE-M-2","TM",12.178063706543,0.599207625748467
"6/29/2022","SFE-M-1S","TM",6.40782431441923,0.143752054584299
"7/10/2023","SFE-M-3","TM",6.90244898455466,0.0431778752591085
"7/13/2023","SAL-1S","TM",1.79746468755555,0.0752013476435363
"7/14/2022","SFE-M-3","TAC",3.5178469892189,1.16242473948808
"7/17/2023","SFE-M-1S","TAC",8.10927394616608,0.743688869252737
"7/17/2023","SFE-M-3","TM",7.73083146208779,0.110432540506316
"7/20/2022","RUS-2","TAC",2.98496562184583,0.528685154188619
"7/26/2022","SAL-1S","TM",5.04658581450883,0.170198376743096
"7/28/2022","SFE-M-1S","TAC",7.15480398129149,1.43609982656204
"7/28/2022","SFE-M-1S","TM",3.89520636872598,0.440031032087626
"7/28/2022","SFE-M-4","TAC",7.73604558314054,1.34927478259642
"7/31/2023","SFE-M-1S","TAC",5.72539476215476,1.06831659527444
"7/31/2023","SFE-M-1S","TM",8.36385708803398,0.119595798350909
"8/10/2023","SAL-1S","TM",1.69805103469658,0.0438780745620338
"8/14/2023","SFE-M-3","TAC",6.89218324177823,0.879039765130655
"8/14/2023","SFE-M-3","TM",9.46431923939848,0.220251076399379
"8/22/2023","SFE-M-3","TAC",5.18257956257919,0.565309486831045
"8/22/2023","SFE-M-3","TM",14.462814046783,0.144562586524286
"8/23/2022","SFE-M-1S","TM",12.1288079464221,0.251428293972445
"8/28/2023","SFE-SH-1S","TM",13.5635726001238,0.489229098535249
"8/7/2023","SFE-M-1S","TAC",3.5756768049571,0.34822069543045
"8/7/2023","SFE-M-1S","TM",9.2690080399987,0.119892172999028
"9/1/2022","RUS-3","TAC",1.84294613041894,0.653905526281404
"9/12/2023","SFE-M-2","TM",14.2340616867688,1.52056725497976
"9/15/2022","RUS-3","TAC",1.72572259517701,0.641846897710919
"9/17/2022","SFE-M-3","TM",9.19161981891121,0.467429635388257
"9/18/2023","SFE-M-2","TAC",2.64118824317061,0.0938597328788026
"9/18/2023","SFE-M-4","TM",7.80490660170228,11.3842712631544
"9/24/2023","SFE-M-2","TAC",2.45089043744022,0.135915073465159
"9/24/2023","SFE-M-2","TM",12.9546774501749,1.52458186935969
"9/4/2023","SFE-M-1S","TM",14.7462908191145,0.52004251038966
